,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:32:14,355695,699999,1490000,14,938570,949999,34982502417,187036
11/01/2021 14:05:30,355695,699999,1490000,14,938570,949999,34982502417,187036
11/01/2021 17:04:50,355695,699999,1490000,14,938570,949999,34982502417,187036
17/01/2021 01:17:58,367570,599999,999999,17,893528,900000,8711769117,93336
17/01/2021 05:28:30,367570,599999,999999,17,893528,900000,8711769117,93336
17/01/2021 09:16:06,367570,599999,999999,17,893528,900000,8711769117,93336
17/01/2021 11:01:30,367570,599999,999999,17,893528,900000,8711769117,93336
17/01/2021 12:37:48,367570,599999,999999,17,893528,900000,8711769117,93336
17/01/2021 14:17:56,367570,599999,999999,17,893528,900000,8711769117,93336
17/01/2021 15:47:01,367570,599999,999999,20,879499,900000,11668134158,108019
17/01/2021 17:33:44,367570,599999,999999,20,879499,900000,11668134158,108019
17/01/2021 18:06:22,367570,599999,999999,20,879499,900000,11668134158,108019
18/01/2021 14:11:18,367570,599999,999999,20,879499,900000,11668134158,108019
18/01/2021 16:42:05,367570,599999,999999,20,879499,900000,11668134158,108019
18/01/2021 18:26:04,367570,599999,999999,20,879499,900000,11668134158,108019
