,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:34:04,350000,580000,580000,1,,,,
11/01/2021 14:07:17,350000,580000,580000,1,,,,
11/01/2021 17:06:35,350000,580000,580000,1,,,,
17/01/2021 01:20:08,350000,499999,580000,2,539999,539999,3200080000,56569
17/01/2021 05:30:52,350000,499999,580000,2,539999,539999,3200080000,56569
17/01/2021 09:18:45,350000,499999,580000,2,539999,539999,3200080000,56569
17/01/2021 11:04:05,350000,499999,580000,2,539999,539999,3200080000,56569
17/01/2021 12:40:21,350000,499999,580000,2,539999,539999,3200080000,56569
17/01/2021 14:20:21,350000,499999,580000,2,539999,539999,3200080000,56569
17/01/2021 15:49:27,350000,499999,580000,2,539999,539999,3200080000,56569
17/01/2021 17:36:13,350000,499999,580000,2,539999,539999,3200080000,56569
17/01/2021 18:08:54,350000,499999,580000,2,539999,539999,3200080000,56569
18/01/2021 14:13:26,350000,499999,580000,2,539999,539999,3200080000,56569
18/01/2021 16:44:15,350000,499999,580000,2,539999,539999,3200080000,56569
18/01/2021 18:28:19,350000,499999,580000,2,539999,539999,3200080000,56569
