,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:33:52,1418827,1333333,2899999,3,2227777,2450000,650647774074,806627
11/01/2021 14:07:05,1418827,1333333,2899999,4,2020833,1925000,605069011111,777861
11/01/2021 17:06:24,1418827,1333333,2899999,4,2020833,1925000,605069011111,777861
17/01/2021 01:19:58,1421497,2800000,3000000,3,2899999,2899999,10000000000,100000
17/01/2021 05:30:42,1421497,2800000,3000000,3,2899999,2899999,10000000000,100000
17/01/2021 09:18:35,1421497,2800000,3000000,3,2899999,2899999,10000000000,100000
17/01/2021 11:03:55,1421497,2800000,3000000,3,2899999,2899999,10000000000,100000
17/01/2021 12:40:11,1421497,2500000,3000000,4,2799999,2849999,46666600000,216024
17/01/2021 14:20:11,1421497,2500000,3000000,5,2799999,2800000,34999950000,187082
17/01/2021 15:49:17,1421497,2500000,3000000,5,2799999,2800000,34999950000,187082
17/01/2021 17:36:03,1421497,2500000,3000000,5,2799999,2800000,34999950000,187082
17/01/2021 18:08:43,1421497,2500000,3000000,5,2799999,2800000,34999950000,187082
18/01/2021 14:13:17,1421497,2500000,3000000,5,2799999,2800000,34999950000,187082
18/01/2021 16:44:05,1421497,1900000,3000000,8,2699999,2800000,125714171428,354561
18/01/2021 18:28:09,1421497,1900000,3000000,8,2699999,2800000,125714171428,354561
