,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:27:39,13536,6800,11500,8,8926,8750,3714707,1927
11/01/2021 14:01:07,13536,6000,11500,8,8426,7500,4487707,2118
11/01/2021 17:00:25,13536,6000,11500,8,8426,7500,4487707,2118
17/01/2021 01:12:11,13292,7000,15000,2,11000,11000,32000000,5656
17/01/2021 05:22:50,13292,7000,15000,2,11000,11000,32000000,5656
17/01/2021 09:10:15,13292,7000,15000,2,11000,11000,32000000,5656
17/01/2021 10:55:12,13292,7000,15000,2,11000,11000,32000000,5656
17/01/2021 12:31:43,13292,7000,15000,2,11000,11000,32000000,5656
17/01/2021 14:12:04,13292,7000,15000,2,11000,11000,32000000,5656
17/01/2021 15:40:57,13292,7000,15000,3,9666,7000,21333333,4618
17/01/2021 17:27:48,13292,7000,15000,3,9666,7000,21333333,4618
17/01/2021 18:00:08,13292,7000,15000,3,9666,7000,21333333,4618
18/01/2021 14:05:58,13292,7000,15000,3,9666,7000,21333333,4618
18/01/2021 16:36:51,13292,7000,15000,3,9666,7000,21333333,4618
18/01/2021 18:20:39,13292,7000,15000,3,9666,7000,21333333,4618
