,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:25:29,3375,3000,36500,35,11867,9999,77691973,8814
11/01/2021 13:58:52,3376,1999,30000,47,9569,7900,64164669,8010
11/01/2021 16:58:13,3464,2100,30000,38,11145,9999,65494123,8092
17/01/2021 01:09:24,3623,900,30000,89,7284,4000,66904976,8179
17/01/2021 05:20:02,3583,850,30000,89,7286,4000,67057520,8188
17/01/2021 09:07:12,3615,999,30000,80,7159,4000,61015891,7811
17/01/2021 10:52:10,3608,999,30000,80,6847,4000,54726951,7397
17/01/2021 12:28:46,3608,999,30000,83,6979,4000,59799201,7732
17/01/2021 14:09:07,3596,400,30000,83,6628,4000,54017477,7349
17/01/2021 15:37:52,3610,399,30000,86,6354,4000,53103463,7287
17/01/2021 17:24:33,3596,400,30000,89,6506,3999,57854689,7606
17/01/2021 17:56:50,3573,400,30000,89,6843,4000,63552885,7972
18/01/2021 14:02:51,3487,999,30000,68,8105,4000,74409416,8626
18/01/2021 16:33:56,3545,900,30000,68,7800,4000,73262443,8559
18/01/2021 18:17:36,3510,900,30000,68,7934,4000,72605661,8520
