,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:32:58,539170,931000,2299999,8,1388601,1349484,191366345786,437454
11/01/2021 14:06:10,539170,920000,2299999,11,1325801,1299999,178196856771,422133
11/01/2021 17:05:29,539170,920000,2299999,11,1325801,1299999,178196856771,422133
17/01/2021 01:18:56,544909,500000,1799999,8,969374,925000,169545650357,411759
17/01/2021 05:29:38,546591,500000,1799999,8,863124,687500,219020589643,467996
17/01/2021 09:17:23,546591,500000,1799999,8,863124,687500,219020589643,467996
17/01/2021 11:02:46,546591,500000,1799999,8,863124,687500,219020589643,467996
17/01/2021 12:39:03,546382,500000,1799999,8,916874,827500,197520620357,444432
17/01/2021 14:19:07,546174,425000,1799999,8,866874,790000,236592020357,486407
17/01/2021 15:48:12,545631,450000,1799999,8,976249,930000,221826365357,470984
17/01/2021 17:35:00,545631,450000,1799999,8,1047499,1114999,254906783571,504882
17/01/2021 18:07:38,545631,450000,1799999,8,1047499,1114999,254906783571,504882
18/01/2021 14:12:23,548618,930000,1799999,5,1325999,1200000,110879763000,332986
18/01/2021 16:43:09,548618,930000,1799999,8,1303749,1200000,76683786785,276918
18/01/2021 18:27:14,548618,930000,1799999,8,1303749,1200000,76683786785,276918
