,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:38:07,43527,42488,47500,424888,-
11/01/2021 02:47:43,43527,42488,47500,424888,-
11/01/2021 15:09:26,43156,42499,45000,424999,-
11/01/2021 15:18:51,43156,42499,45000,424999,-
11/01/2021 18:09:25,43156,42499,44000,424999,-
11/01/2021 18:18:55,43156,42499,43999,424999,-
13/01/2021 14:04:42,42875,43500,-,435000,-
13/01/2021 14:16:31,42875,43500,-,435000,-
13/01/2021 15:18:32,42875,43500,-,435000,-
13/01/2021 16:22:11,42875,43500,-,435000,-
13/01/2021 16:34:18,42875,43500,-,435000,-
13/01/2021 17:56:25,42581,43000,43000,449998,-
13/01/2021 18:09:02,42581,43000,43000,449998,-
13/01/2021 19:03:09,42581,41999,42998,419999,-
13/01/2021 19:15:30,43032,43666,43666,500000,-
13/01/2021 20:18:49,43006,43000,43555,430000,-
13/01/2021 20:29:23,43006,43000,43555,430000,-
13/01/2021 22:43:41,42997,42899,42999,428999,-
13/01/2021 22:52:56,42997,40000,40000,428999,-
14/01/2021 00:58:53,42997,39997,39997,399998,-
14/01/2021 01:11:27,42952,39999,43553,399998,-
14/01/2021 02:59:01,42952,39999,43553,399997,-
14/01/2021 03:10:47,42952,39999,43553,399997,-
14/01/2021 08:02:33,42719,39999,43555,399998,-
14/01/2021 08:14:23,42719,39999,43555,399998,-
14/01/2021 13:27:53,42474,39999,43555,399997,-
14/01/2021 13:39:23,42474,39999,39999,399997,-
14/01/2021 16:45:16,42462,30000,38999,300000,-
14/01/2021 20:13:38,41453,39000,39000,399999,-
14/01/2021 20:26:17,41453,39000,39000,399999,-
15/01/2021 00:09:24,41276,42888,43500,428887,-
15/01/2021 00:21:49,41276,42888,43500,428886,-
15/01/2021 03:06:47,41386,35000,35000,428886,-
15/01/2021 03:19:23,41386,35000,35000,428886,-
15/01/2021 05:17:23,41607,42888,48999,428886,-
15/01/2021 05:29:35,41607,42888,48999,428886,-
16/01/2021 05:16:16,44546,-,-,-,-
16/01/2021 05:28:06,44546,-,-,-,-
16/01/2021 06:19:01,44546,-,-,-,-
16/01/2021 06:30:49,44546,-,-,-,-
16/01/2021 07:21:45,44546,-,-,-,-
16/01/2021 07:34:01,44546,47000,47000,-,-
16/01/2021 08:25:43,44546,47000,47000,-,-
16/01/2021 08:37:37,44546,47000,47000,-,-
16/01/2021 09:29:26,44546,46999,47000,469999,-
16/01/2021 09:41:16,44546,46999,47000,469999,-
16/01/2021 10:33:20,44683,47088,-,470889,-
16/01/2021 10:45:30,44683,47088,-,470889,-
16/01/2021 15:59:11,44717,46999,46999,470799,-
16/01/2021 16:11:39,44717,46999,46999,470799,-
16/01/2021 17:05:04,44717,46998,46998,470799,-
16/01/2021 17:17:40,44717,45153,45153,470799,-
16/01/2021 19:07:44,45116,51846,51847,518469,-
16/01/2021 19:20:39,45116,51846,51847,518469,-
16/01/2021 20:17:57,45116,51846,51847,518467,-
16/01/2021 20:31:07,45116,51846,51847,518466,-
16/01/2021 22:45:13,45407,37999,37999,518466,-
16/01/2021 22:58:44,45422,50000,50000,518466,-
16/01/2021 23:56:00,45422,48000,48000,518466,-
17/01/2021 00:09:00,45422,48000,48000,518466,-
17/01/2021 01:47:05,46216,51846,-,518467,-
17/01/2021 03:33:30,46459,50000,50000,-,-
17/01/2021 04:26:51,46475,79999,79999,800000,-
17/01/2021 05:21:07,46475,79999,79999,800000,-
17/01/2021 06:12:37,46475,79999,79999,800000,-
17/01/2021 07:04:39,46475,79998,79998,800000,-
17/01/2021 07:56:49,46475,79998,79998,800000,-
17/01/2021 09:41:44,46475,79998,79998,799999,-
17/01/2021 10:35:53,46475,60000,79998,600000,-
17/01/2021 12:51:24,47058,68000,68000,794999,-
17/01/2021 13:45:05,47058,45000,45000,794998,-
17/01/2021 14:38:15,47058,45000,45000,794997,-
17/01/2021 15:32:33,47058,45000,45000,794997,-
17/01/2021 16:26:57,47058,79499,-,794997,-
