,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:54:58,322568,400000,499999,8,447499,450000,735703571,27123
11/01/2021 14:27:22,322568,400000,499999,11,439999,439999,679988000,26076
11/01/2021 17:26:52,322568,400000,499999,11,439999,439999,679988000,26076
17/01/2021 01:55:54,329892,390000,450000,3,420000,420000,900000000,30000
17/01/2021 10:00:36,329892,350000,450000,4,402500,405000,1825000000,42720
17/01/2021 11:44:11,329892,299999,450000,5,381999,390000,3470041000,58907
17/01/2021 13:18:31,329892,299999,450000,5,381999,390000,3470041000,58907
17/01/2021 15:01:14,329892,299999,450000,5,381999,390000,3470041000,58907
18/01/2021 14:55:11,331338,320000,785000,8,500624,500000,18574568393,136288
18/01/2021 17:24:42,332306,450000,785000,3,588333,529999,30608391667,174952
