,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:58:04,1093,825,999,14898,82500
11/01/2021 02:58:10,1093,825,999,14898,82500
11/01/2021 15:27:42,1093,825,849,9500,82500
11/01/2021 15:27:48,1093,825,849,9500,82500
11/01/2021 18:27:49,1093,699,849,9500,69999
11/01/2021 18:27:55,1093,699,849,9500,69999
14/01/2021 01:51:04,684,598,850,8499,59888
14/01/2021 01:51:12,684,598,850,8499,59888
14/01/2021 06:43:05,684,598,850,8499,59888
14/01/2021 06:43:13,684,598,850,8499,59888
14/01/2021 06:54:41,684,598,850,8499,59888
14/01/2021 06:54:49,684,598,850,8499,59888
14/01/2021 12:20:37,684,598,850,8497,59888
14/01/2021 12:20:46,684,598,850,8497,59888
14/01/2021 14:22:33,684,598,850,8497,59888
14/01/2021 14:22:40,684,598,850,8497,59888
14/01/2021 15:29:21,684,598,850,8497,59888
14/01/2021 15:29:28,684,598,850,8497,59888
14/01/2021 19:03:10,690,598,849,8299,59888
14/01/2021 19:03:18,690,598,849,8299,59888
14/01/2021 22:44:48,690,499,849,4999,59888
14/01/2021 22:44:56,690,499,849,4999,59888
14/01/2021 22:58:02,690,499,849,4999,59888
14/01/2021 22:58:10,690,499,849,4999,59888
15/01/2021 01:55:45,690,499,849,4999,59888
15/01/2021 01:55:54,690,499,849,4999,59888
15/01/2021 03:44:17,690,499,849,4999,59888
15/01/2021 03:44:25,690,499,849,4999,59888
15/01/2021 04:06:05,690,499,849,4999,59888
15/01/2021 04:06:14,690,499,849,4999,59888
15/01/2021 10:57:48,690,499,599,4998,59888
15/01/2021 10:57:56,690,499,599,4998,59888
17/01/2021 01:23:52,516,500,848,5000,57222
17/01/2021 01:24:01,516,500,848,5000,57222
17/01/2021 05:34:34,516,500,848,5000,57222
17/01/2021 05:34:43,516,500,848,5000,57222
17/01/2021 09:22:49,516,500,848,5000,56000
17/01/2021 09:22:58,516,500,848,5000,56000
17/01/2021 11:08:06,516,490,490,4900,56000
17/01/2021 11:08:16,516,490,490,4900,56000
17/01/2021 12:44:25,516,490,490,4900,56000
17/01/2021 12:44:35,516,490,490,4900,56000
17/01/2021 14:24:23,516,487,490,4875,56000
17/01/2021 14:24:32,516,487,490,4875,56000
17/01/2021 15:53:17,516,480,480,4800,56000
17/01/2021 15:53:27,516,480,480,4800,56000
17/01/2021 18:12:57,516,480,848,4800,49999
17/01/2021 18:13:07,516,480,848,4800,49999
18/01/2021 14:16:56,511,444,848,4799,44444
18/01/2021 14:17:05,511,444,848,4799,44444
18/01/2021 16:47:46,511,300,848,4799,30000
18/01/2021 16:47:54,511,300,848,4799,30000
18/01/2021 18:31:51,510,300,848,4800,30000
18/01/2021 18:31:59,510,300,848,4800,30000
