,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:23:56,3975218,4200000,9999012,26,6472864,6744506,3246458238055,1801793
11/01/2021 13:57:21,3975218,4200000,9999012,26,6649787,6999012,3297490075919,1815899
11/01/2021 16:56:45,3978080,4200000,9999012,23,6752368,6999012,2980983110622,1726552
17/01/2021 05:17:48,4003062,3745000,80000000,26,8899246,6499156,214002214617043,14628814
17/01/2021 09:04:44,4003062,3745000,80000000,29,8823394,6999012,191523672393752,13839207
17/01/2021 10:49:43,4003062,3500000,80000000,29,8814946,6999012,191614614124183,13842493
17/01/2021 12:26:39,4003062,3500000,80000000,14,9903447,3999990,408518437148983,20211839
17/01/2021 14:07:00,4003062,3333333,80000000,17,9186995,3999998,334603715053773,18292176
17/01/2021 15:35:49,4003062,3333333,80000000,17,9186995,3999998,334603715053773,18292176
17/01/2021 17:22:27,4003062,3333333,80000000,17,9186995,3999998,334603715053773,18292176
17/01/2021 17:54:40,4003062,3333333,80000000,17,9186995,3999998,334603715053773,18292176
18/01/2021 14:00:55,4003062,3100000,8000000,20,4564214,3999990,1691457346500,1300560
18/01/2021 16:31:54,4003062,3100000,8000000,20,4564214,3999990,1691457346500,1300560
18/01/2021 16:32:04,4003062,3100000,8000000,20,4564214,3999990,1691457346500,1300560
18/01/2021 18:15:43,4003062,3100000,8000000,20,4564214,3999990,1691457346500,1300560
