,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:16:41,517,49,799,2990,4999
11/01/2021 14:47:56,517,49,500,2990,4998
11/01/2021 17:47:42,517,40,500,2990,4000
13/01/2021 13:02:40,368,49,500,2990,4999
13/01/2021 14:51:27,368,49,500,2990,4999
13/01/2021 15:54:45,368,49,500,2990,4999
13/01/2021 17:27:55,368,49,500,2990,4999
13/01/2021 18:35:13,368,49,500,2990,4999
13/01/2021 19:49:09,368,49,500,2990,4999
13/01/2021 22:14:21,201,59,500,2990,5997
14/01/2021 00:30:48,201,59,500,2990,5997
14/01/2021 02:31:50,201,59,500,2990,5997
14/01/2021 07:35:22,201,59,500,2990,5997
