,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:03:49,10796,9999,14992,104490,999999
11/01/2021 14:35:18,10693,9999,12123,103999,999999
11/01/2021 17:35:03,10689,9949,12123,102998,994999
13/01/2021 11:58:46,10769,9799,-,103990,979999
13/01/2021 12:46:15,10769,9799,-,102999,979999
13/01/2021 13:24:25,10748,9799,-,102999,979999
13/01/2021 14:35:25,10711,9799,-,102999,979999
13/01/2021 15:38:45,10693,9799,14000,102999,979999
13/01/2021 17:11:15,10708,9799,14000,102998,979999
13/01/2021 18:18:29,10708,9799,14000,102998,979999
13/01/2021 19:32:19,10616,9799,-,102998,979999
13/01/2021 21:57:42,10603,9799,-,102997,979999
14/01/2021 00:14:25,10585,9799,11995,101999,979999
14/01/2021 02:15:40,10578,9799,11995,101999,979999
14/01/2021 07:19:21,10603,9000,11999,101997,900000
14/01/2021 12:44:33,10590,8950,-,102000,895000
14/01/2021 15:54:11,10579,8950,-,102000,895000
14/01/2021 19:28:14,10603,8950,-,101000,895000
14/01/2021 23:23:46,10442,8950,14999,102998,895000
15/01/2021 02:21:40,10483,8950,14999,102997,895000
15/01/2021 04:32:11,10467,8950,14999,102998,895000
16/01/2021 04:32:47,10471,8300,8300,83459,895000
16/01/2021 05:35:59,10339,8950,-,102995,895000
16/01/2021 06:38:42,10337,8950,-,102996,895000
16/01/2021 07:41:58,10337,8950,-,102996,895000
16/01/2021 08:45:47,10337,8950,-,102996,895000
16/01/2021 09:49:13,10336,8950,10000,102995,895000
16/01/2021 10:53:37,10333,8950,-,102995,895000
16/01/2021 15:13:09,9921,9000,10000,102993,900000
16/01/2021 16:19:53,9921,9000,10000,102993,900000
16/01/2021 18:20:39,9954,9000,-,102993,900000
16/01/2021 19:29:44,9954,9000,-,102993,900000
16/01/2021 20:40:06,9954,9000,-,102989,900000
16/01/2021 21:56:30,9969,9000,-,102989,900000
16/01/2021 23:08:00,9969,9000,9999,99999,900000
17/01/2021 01:00:54,9958,9000,-,-,900000
17/01/2021 01:55:38,9960,9000,-,99999,900000
17/01/2021 02:49:09,9960,8900,-,89000,900000
17/01/2021 03:42:13,9960,8900,-,89000,900000
17/01/2021 04:35:35,9828,8900,-,89000,900000
17/01/2021 05:29:13,9750,8900,-,89000,900000
17/01/2021 06:20:45,9750,8900,15000,89000,900000
17/01/2021 07:12:50,9750,8900,15000,89000,900000
17/01/2021 08:57:50,9750,8899,15000,88998,900000
17/01/2021 09:50:26,9750,8890,15000,88900,900000
17/01/2021 12:06:00,9713,8889,15000,88899,900000
17/01/2021 12:59:41,9713,8889,15000,88897,900000
17/01/2021 13:53:34,9550,8889,15000,88898,900000
17/01/2021 14:46:37,9599,8889,15000,88897,900000
17/01/2021 15:41:09,9588,8889,15000,88897,900000
18/01/2021 13:48:34,9024,7999,-,79999,799999
18/01/2021 14:16:54,8982,7999,9498,79999,799999
18/01/2021 14:52:11,8982,7999,-,79999,799999
18/01/2021 15:54:15,8940,7999,-,79999,799999
18/01/2021 16:31:50,8940,7999,-,79999,799999
18/01/2021 17:02:38,8950,7999,9499,79999,799999
18/01/2021 17:33:40,8950,7999,9499,79999,799999
18/01/2021 18:04:55,8909,7999,9499,79998,799999
