,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:38:30,10847,1700,1700,-,-
11/01/2021 02:48:06,10847,1700,1700,-,-
11/01/2021 15:09:46,10847,1700,1700,-,-
11/01/2021 15:19:11,10847,1700,1700,-,-
11/01/2021 18:09:48,10847,1700,1700,-,-
11/01/2021 18:19:18,10847,1700,1700,-,-
13/01/2021 14:05:15,10847,1700,1700,-,-
13/01/2021 14:17:05,10847,1700,1700,-,-
13/01/2021 15:19:05,10847,1700,1700,-,-
13/01/2021 16:22:44,10847,1700,1700,-,-
13/01/2021 16:34:50,10847,1700,1700,-,-
13/01/2021 17:56:59,10847,1700,1700,-,-
13/01/2021 18:09:35,10847,1700,1700,-,-
13/01/2021 19:03:43,10847,1700,1700,-,-
13/01/2021 19:16:03,10847,1700,1700,-,-
13/01/2021 20:19:24,10847,1700,1700,-,-
13/01/2021 20:29:56,10847,1700,1700,-,-
13/01/2021 22:44:17,10847,1700,1700,-,-
13/01/2021 22:53:31,10847,1700,1700,-,-
14/01/2021 00:59:28,10847,1700,1700,-,-
14/01/2021 01:12:01,10847,1700,1700,-,-
14/01/2021 02:59:33,10847,1700,1700,-,-
14/01/2021 03:11:19,10847,1700,1700,-,-
14/01/2021 08:03:02,10847,1700,1700,-,-
14/01/2021 08:14:52,10847,1700,1700,-,-
14/01/2021 13:28:21,10847,1700,1700,-,-
14/01/2021 13:39:51,10847,1700,1700,-,-
14/01/2021 16:45:47,10847,1700,1700,-,-
14/01/2021 20:14:03,10847,1700,1700,-,-
14/01/2021 20:26:48,10847,1700,1700,-,-
15/01/2021 00:09:54,10847,1700,1700,-,-
15/01/2021 00:22:20,10847,1700,1700,-,-
15/01/2021 03:07:17,10847,1700,1700,-,-
15/01/2021 03:19:52,10847,1700,1700,-,-
15/01/2021 05:17:52,10847,1700,1700,-,-
15/01/2021 05:30:05,10847,1700,1700,-,-
16/01/2021 05:16:45,10847,1250,1250,-,-
16/01/2021 05:28:35,10847,1250,1250,-,-
16/01/2021 06:19:29,10847,1250,1250,-,-
16/01/2021 06:31:18,10847,1250,1250,-,-
16/01/2021 07:22:15,10847,1250,1250,-,-
16/01/2021 07:34:30,10847,1250,1250,-,-
16/01/2021 08:26:12,10847,1250,1250,-,-
16/01/2021 08:38:07,10847,1250,1250,-,-
16/01/2021 09:29:54,10847,1250,1250,-,-
16/01/2021 09:41:46,10847,1250,1250,-,-
16/01/2021 10:33:50,10847,1250,1250,-,-
16/01/2021 10:45:59,10847,1250,1250,-,-
16/01/2021 15:59:43,10847,1250,1250,-,-
16/01/2021 16:12:09,10847,1250,1250,-,-
16/01/2021 17:05:34,10847,1250,1250,-,-
16/01/2021 17:18:10,10847,1250,1250,-,-
