,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:35:40,3411,3399,3399,-,-
11/01/2021 02:45:16,3411,3399,3399,-,-
11/01/2021 15:06:55,3411,3398,3398,-,-
11/01/2021 15:16:20,3411,3398,3398,-,-
11/01/2021 18:06:54,3411,3398,3398,-,-
11/01/2021 18:16:24,3411,3398,3398,-,-
13/01/2021 14:01:29,3411,3000,3000,-,-
13/01/2021 14:13:19,3411,3000,3000,-,-
13/01/2021 15:15:19,3411,3000,3000,-,-
13/01/2021 16:18:58,3411,3000,3000,-,-
13/01/2021 16:31:09,3411,3000,3000,-,-
13/01/2021 17:53:05,3411,3000,3000,-,-
13/01/2021 18:05:45,3411,3000,3000,-,-
13/01/2021 18:59:53,3411,3000,3000,-,-
13/01/2021 19:12:13,3411,3000,3000,-,-
13/01/2021 20:15:21,3411,-,-,-,-
13/01/2021 20:26:07,3411,-,-,-,-
13/01/2021 22:40:13,3411,-,-,-,-
13/01/2021 22:49:24,3411,-,-,-,-
14/01/2021 00:55:33,3411,-,-,-,-
14/01/2021 01:08:11,3411,-,-,-,-
14/01/2021 02:55:55,3411,-,-,-,-
14/01/2021 03:07:44,3411,-,-,-,-
14/01/2021 07:59:30,3411,-,-,-,-
14/01/2021 08:11:17,3411,-,-,-,-
14/01/2021 13:24:47,3411,2999,2999,-,-
14/01/2021 13:36:28,3411,2999,2999,-,-
14/01/2021 16:35:45,3411,2999,2999,-,-
14/01/2021 16:42:08,3411,2999,2999,-,-
14/01/2021 20:10:18,3411,2999,2999,-,-
14/01/2021 20:22:46,3411,2999,2999,-,-
15/01/2021 00:05:53,3411,2999,2999,-,-
15/01/2021 00:18:19,3411,2999,2999,-,-
15/01/2021 03:03:14,3411,2999,2999,-,-
15/01/2021 03:15:53,3411,2999,2999,-,-
15/01/2021 05:14:00,3411,2999,2999,-,-
15/01/2021 05:26:13,3411,2999,2999,-,-
16/01/2021 05:13:07,3411,2999,2999,-,-
16/01/2021 05:25:00,3411,2999,2999,-,-
16/01/2021 06:15:54,3411,2999,2999,-,-
16/01/2021 06:27:41,3411,2999,2999,-,-
16/01/2021 07:18:35,3411,2999,2999,-,-
16/01/2021 07:30:49,3411,2999,2999,-,-
16/01/2021 08:22:36,3411,2999,2999,-,-
16/01/2021 08:34:25,3411,2999,2999,-,-
16/01/2021 09:26:19,3411,2999,2999,-,-
16/01/2021 09:38:05,3411,2999,2999,-,-
16/01/2021 10:30:08,3411,2999,2999,-,-
16/01/2021 10:42:22,3411,2999,2999,-,-
16/01/2021 15:55:51,3411,2999,2999,-,-
16/01/2021 16:08:25,3411,2999,2999,-,-
16/01/2021 17:01:50,3411,2999,2999,-,-
16/01/2021 17:14:21,3411,2999,2999,-,-
16/01/2021 19:04:25,3411,2999,2999,-,-
16/01/2021 19:17:13,3411,2999,2999,-,-
16/01/2021 20:14:41,3411,2999,2999,-,-
16/01/2021 20:27:45,3411,2900,2900,-,-
16/01/2021 22:41:46,3411,2999,2999,-,-
16/01/2021 22:55:15,3411,2999,2999,-,-
16/01/2021 23:52:37,3411,2999,2999,-,-
17/01/2021 00:05:34,3411,2999,2999,-,-
