,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:03:15,315,90,90,1875,25210
11/01/2021 02:03:19,315,90,90,1875,25210
11/01/2021 14:34:45,315,90,90,1875,25210
11/01/2021 14:34:48,315,90,90,1875,25210
11/01/2021 17:34:29,315,90,90,1875,25209
11/01/2021 17:34:33,315,90,90,1875,25209
13/01/2021 11:58:02,272,187,200,1875,25209
13/01/2021 11:58:07,272,187,200,1875,25209
13/01/2021 12:45:31,272,187,200,1875,25209
13/01/2021 12:45:36,272,187,200,1875,25209
13/01/2021 13:23:41,272,187,200,1875,25209
13/01/2021 13:23:45,272,187,200,1875,25209
13/01/2021 14:34:43,272,187,200,1875,25209
13/01/2021 14:34:47,272,187,200,1875,25209
13/01/2021 15:38:03,272,187,200,1875,25209
13/01/2021 15:38:07,272,187,200,1875,25209
13/01/2021 17:10:31,272,187,200,1875,25209
13/01/2021 17:10:35,272,187,200,1875,25209
13/01/2021 18:17:45,272,187,199,1875,25209
13/01/2021 18:17:49,272,187,199,1875,25209
13/01/2021 19:31:34,272,187,199,1875,25209
13/01/2021 19:31:38,272,187,199,1875,25209
13/01/2021 21:56:57,272,187,199,1875,25209
13/01/2021 21:57:02,272,187,199,1875,25209
14/01/2021 00:13:37,272,187,199,1875,25209
14/01/2021 00:13:42,272,187,199,1875,25209
14/01/2021 02:14:58,272,187,199,1875,25209
14/01/2021 02:15:03,272,187,199,1875,25209
14/01/2021 07:18:39,272,187,199,1875,25000
14/01/2021 07:18:43,272,187,199,1875,25000
