,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:03:24,3145,2300,2300,33888,281210
11/01/2021 14:34:54,3145,2300,2300,33887,281210
11/01/2021 17:34:38,3145,2300,2300,33887,281210
13/01/2021 11:58:14,3065,2333,2500,23333,314999
13/01/2021 12:45:43,3065,2333,2500,23333,314999
13/01/2021 13:23:52,3065,2333,2500,23333,314999
13/01/2021 14:34:54,3065,2100,2100,23333,314999
13/01/2021 15:38:14,3065,2100,2100,23333,249999
13/01/2021 17:10:42,3065,2100,2100,23333,249999
13/01/2021 18:17:56,3065,2100,2100,23333,249999
13/01/2021 19:31:45,3065,2100,2100,23332,249999
13/01/2021 21:57:09,3065,2100,2100,23332,248999
14/01/2021 00:13:50,3065,2100,2100,23332,248999
14/01/2021 02:15:09,3065,2100,2100,23332,248999
14/01/2021 07:18:49,3065,2100,2100,23332,248999
