,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:03:07,1091,899,899,10000,99999
11/01/2021 14:34:36,1091,899,899,10000,99999
11/01/2021 17:34:20,1091,899,899,10000,99999
13/01/2021 11:57:51,1062,499,499,10000,100000
13/01/2021 12:45:20,1062,499,499,10000,100000
13/01/2021 13:23:30,1062,499,499,10000,100000
13/01/2021 14:34:32,1062,499,499,10000,100000
13/01/2021 15:37:52,1062,499,499,10000,100000
13/01/2021 17:10:19,1062,499,499,10000,100000
13/01/2021 18:17:33,1062,499,499,10000,100000
13/01/2021 19:31:22,1062,499,499,10000,100000
13/01/2021 21:56:46,1053,1000,-,10000,100000
14/01/2021 00:13:25,1053,1000,-,10000,100000
14/01/2021 02:14:48,1053,1000,-,10000,100000
14/01/2021 07:18:28,1053,1000,1000,10000,100000
14/01/2021 12:43:42,1053,1000,1000,10000,100000
14/01/2021 15:53:15,1053,1000,1000,10000,100000
14/01/2021 19:27:20,1053,1000,1000,10000,100000
14/01/2021 23:22:49,1053,1000,1000,10000,100000
15/01/2021 02:20:45,1051,1000,-,10000,100000
15/01/2021 04:31:17,1051,1000,-,10000,100000
16/01/2021 04:31:52,1051,1000,-,10000,100000
16/01/2021 05:35:07,1051,1000,-,10000,100000
16/01/2021 06:37:50,1051,1000,-,10000,100000
16/01/2021 07:41:05,1051,1000,-,10000,100000
16/01/2021 08:44:54,1051,1000,-,10000,100000
16/01/2021 09:48:21,1051,1000,-,10000,100000
16/01/2021 10:52:45,1051,1000,-,10000,100000
16/01/2021 15:12:14,1051,1000,-,10000,100000
16/01/2021 16:19:00,1051,1000,-,10000,100000
