,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:59:19,1632,440,1000,4400,-
11/01/2021 15:28:57,1624,400,1150,4000,-
11/01/2021 18:29:04,1624,400,1150,4000,-
14/01/2021 01:52:44,1388,1147,1147,-,-
14/01/2021 06:44:42,1388,1147,1147,-,-
14/01/2021 06:56:22,1388,1147,1147,-,-
14/01/2021 12:22:16,1388,1147,1147,-,-
14/01/2021 14:24:13,1388,1147,1147,-,-
14/01/2021 15:30:56,1388,1147,1147,-,-
14/01/2021 19:04:50,1388,1147,1147,-,-
14/01/2021 22:46:25,1388,1147,1147,-,-
14/01/2021 22:59:38,1388,1147,1147,-,-
15/01/2021 01:57:30,1388,1147,1147,-,-
15/01/2021 03:45:56,1388,1147,1147,-,-
15/01/2021 04:07:46,1388,1147,1147,-,-
15/01/2021 10:59:28,1388,999,1147,9999,-
17/01/2021 01:25:35,1387,999,1100,9997,-
17/01/2021 05:36:16,1387,999,1100,9997,-
17/01/2021 09:24:40,1387,999,1100,9997,-
17/01/2021 11:09:57,1387,999,1100,9997,-
17/01/2021 12:46:28,1387,999,1100,9997,-
17/01/2021 14:26:11,1387,999,1100,9997,-
17/01/2021 15:55:06,1387,999,1100,9997,-
17/01/2021 18:14:49,1387,999,1100,9997,-
18/01/2021 14:18:36,1387,999,1000,9997,-
18/01/2021 16:49:23,1384,999,1100,9997,-
18/01/2021 18:33:35,1384,999,1100,9997,-
