,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:59:24,637,600,600,9900,99999
11/01/2021 15:29:02,637,600,600,9900,99999
11/01/2021 18:29:10,637,600,600,9900,99999
14/01/2021 01:52:51,637,990,-,9900,99999
14/01/2021 06:44:48,637,990,-,9900,99999
14/01/2021 06:56:29,637,990,-,9900,99999
14/01/2021 12:22:22,637,990,-,9900,99999
14/01/2021 14:24:20,637,990,-,9900,99999
14/01/2021 15:31:02,637,990,-,9900,99999
14/01/2021 19:04:57,637,990,-,9900,99999
14/01/2021 22:46:32,637,400,400,9900,99999
14/01/2021 22:59:44,637,400,400,9900,99999
15/01/2021 01:57:37,637,400,400,9900,99999
15/01/2021 03:46:03,637,400,400,9900,99999
15/01/2021 04:07:53,637,400,400,9900,99999
15/01/2021 10:59:35,637,333,333,9900,99888
17/01/2021 01:25:41,636,950,-,9899,95000
17/01/2021 05:36:23,636,331,331,9899,95000
17/01/2021 09:24:48,636,331,331,9899,95000
17/01/2021 11:10:04,636,331,331,9899,95000
17/01/2021 12:46:36,636,330,330,9899,95000
17/01/2021 14:26:18,636,330,330,9899,95000
17/01/2021 15:55:13,636,330,330,9899,95000
17/01/2021 18:14:57,636,330,330,9899,95000
18/01/2021 14:18:43,636,299,299,9898,95000
18/01/2021 16:49:30,636,299,299,9898,95000
18/01/2021 18:33:42,636,299,299,9898,95000
