,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:16:32,2687,940,940,15888,-
11/01/2021 14:47:47,2687,940,940,15888,-
11/01/2021 17:47:34,2687,940,940,15888,-
13/01/2021 13:02:33,2687,940,940,14999,-
13/01/2021 14:51:20,2687,940,940,14999,-
13/01/2021 15:54:37,2687,940,940,14999,-
13/01/2021 17:27:47,2687,940,940,14999,-
13/01/2021 18:35:05,2687,940,940,14999,-
13/01/2021 19:49:01,2687,940,940,14999,-
13/01/2021 22:14:13,2687,940,940,14999,-
14/01/2021 00:30:41,2687,940,940,14999,-
14/01/2021 02:31:43,2687,940,940,14999,-
14/01/2021 07:35:15,2687,940,940,14999,-
