,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:16:18,7908,4999,-,49998,-
11/01/2021 14:47:33,7908,4999,-,49998,-
11/01/2021 17:47:22,7908,4999,-,49998,-
13/01/2021 12:14:51,7908,4499,4499,45000,-
13/01/2021 13:02:10,7908,4499,4499,45000,-
13/01/2021 14:50:58,7908,4499,4499,45000,-
13/01/2021 15:54:23,-,1088,1499,10888,199999
13/01/2021 17:27:24,7908,4499,4499,45000,-
13/01/2021 18:34:42,7908,4499,4499,45000,-
13/01/2021 19:48:39,7908,4499,4499,45000,-
13/01/2021 22:13:49,7908,4499,4499,45000,-
14/01/2021 00:30:18,7893,4500,4500,45000,-
14/01/2021 02:31:21,7893,4500,4500,45000,-
14/01/2021 07:34:53,7893,4500,4500,45000,-
