,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:17:15,50,9,10,90,997
11/01/2021 14:48:30,50,9,10,90,997
11/01/2021 17:48:17,50,9,10,90,997
13/01/2021 13:03:24,50,8,-,89,997
13/01/2021 14:52:11,50,8,-,89,997
13/01/2021 15:55:29,50,8,-,89,997
13/01/2021 17:28:40,50,8,-,89,997
13/01/2021 18:35:58,50,8,-,89,997
13/01/2021 19:49:55,50,8,-,89,850
13/01/2021 22:15:09,50,8,-,89,850
14/01/2021 00:31:33,50,8,-,89,850
14/01/2021 02:32:34,50,8,-,89,850
14/01/2021 07:36:05,50,8,-,89,850
14/01/2021 13:01:07,50,8,-,89,800
14/01/2021 16:11:24,37,8,-,89,850
14/01/2021 19:45:44,28,8,-,89,997
14/01/2021 23:41:30,28,8,-,89,997
15/01/2021 02:39:01,28,8,-,89,997
15/01/2021 04:49:50,28,8,-,89,997
16/01/2021 04:49:53,28,8,-,89,997
16/01/2021 05:52:55,28,8,-,89,997
16/01/2021 06:55:35,28,8,-,89,997
16/01/2021 07:59:08,28,8,-,89,997
16/01/2021 09:03:08,28,8,-,89,997
16/01/2021 10:06:17,28,8,-,89,997
16/01/2021 11:10:54,27,8,-,89,997
16/01/2021 15:31:31,27,8,-,89,997
16/01/2021 16:37:41,27,8,-,89,997
