,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:03:57,159,194,1480,4499,19411
11/01/2021 14:35:27,191,169,1480,4499,16999
11/01/2021 17:35:11,204,219,-,4498,21999
13/01/2021 11:58:56,200,189,-,-,18999
13/01/2021 12:46:25,200,-,-,-,-
13/01/2021 13:24:35,200,189,450,-,18998
13/01/2021 14:35:35,190,189,450,-,18996
13/01/2021 15:38:55,189,180,450,2000,18000
13/01/2021 17:11:25,196,200,450,2000,20499
13/01/2021 18:18:39,240,200,450,2000,25000
13/01/2021 19:32:29,275,199,450,1999,28994
13/01/2021 21:57:52,289,289,450,4500,28998
14/01/2021 00:14:36,282,279,279,4000,28991
14/01/2021 02:15:50,289,279,279,4000,28799
14/01/2021 07:19:30,307,250,300,4500,25000
14/01/2021 12:44:42,190,185,300,4500,18500
14/01/2021 15:54:21,197,190,300,4499,19000
14/01/2021 19:28:24,288,270,300,4499,27000
14/01/2021 23:23:56,256,245,300,2499,24500
15/01/2021 02:21:51,246,210,250,2499,21000
15/01/2021 04:32:23,246,200,250,2499,20098
16/01/2021 04:32:59,320,249,249,4499,24999
16/01/2021 05:36:11,320,249,249,4499,24999
16/01/2021 06:38:54,320,249,249,4499,24999
16/01/2021 07:42:10,320,229,249,4499,22998
16/01/2021 08:46:00,320,229,249,3000,22997
16/01/2021 09:49:25,265,249,249,3000,24900
16/01/2021 10:53:49,251,239,249,2600,23996
16/01/2021 15:13:21,212,209,249,2590,20999
16/01/2021 16:20:05,208,199,249,2590,19949
16/01/2021 18:20:52,218,219,249,2589,21995
16/01/2021 19:29:56,218,200,249,2000,21994
16/01/2021 20:40:19,218,189,249,1899,21990
16/01/2021 21:56:42,215,189,249,1899,22998
16/01/2021 23:08:13,226,189,249,1899,22499
17/01/2021 01:01:07,228,189,249,1899,22199
17/01/2021 01:55:51,228,139,249,1899,13949
17/01/2021 02:49:22,201,189,250,1899,21995
17/01/2021 03:42:25,201,189,250,1900,18900
17/01/2021 04:35:48,201,188,250,1900,18899
17/01/2021 05:29:25,201,188,250,1900,18899
17/01/2021 06:20:57,201,188,250,1900,18897
17/01/2021 07:13:02,201,188,250,1900,18897
17/01/2021 08:58:02,201,120,250,1200,18895
17/01/2021 09:50:38,201,120,250,1200,18000
17/01/2021 12:06:12,186,110,-,1100,18000
17/01/2021 12:59:53,125,119,-,1199,16999
17/01/2021 13:53:47,139,119,-,1199,16939
17/01/2021 14:46:49,166,119,-,1199,16999
17/01/2021 15:41:22,178,119,-,1199,17995
18/01/2021 15:21:10,170,170,1190,1700,17100
18/01/2021 15:54:29,170,170,1190,1700,17100
