,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:58:06,286,287,300,4000,28700
11/01/2021 02:58:12,286,287,300,4000,28700
11/01/2021 15:27:44,242,237,250,4000,23749
11/01/2021 15:27:50,242,237,250,4000,23749
11/01/2021 18:27:51,209,199,399,4000,19999
11/01/2021 18:27:57,209,199,399,4000,19999
14/01/2021 01:51:07,290,199,199,3000,28500
14/01/2021 01:51:15,290,199,199,3000,28500
14/01/2021 06:43:08,289,199,199,3000,28999
14/01/2021 06:43:16,289,199,199,3000,28999
14/01/2021 06:54:45,292,199,199,3000,30000
14/01/2021 06:54:53,292,199,199,3000,30000
