,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:41:30,205062,199400,199400,2099999,-
11/01/2021 02:51:07,205062,199400,199400,2099999,-
11/01/2021 15:12:43,205037,199498,199498,2099999,-
11/01/2021 15:22:10,205037,199498,199498,2099999,-
11/01/2021 18:12:45,204987,199495,199495,2099999,-
11/01/2021 18:22:12,204987,199495,199495,2099999,-
13/01/2021 14:20:55,204541,199248,199248,2099999,-
13/01/2021 15:22:58,204423,199489,199489,2099999,-
13/01/2021 15:23:43,204423,199489,199489,2099999,-
13/01/2021 16:26:36,204423,198000,198000,2099999,-
13/01/2021 16:38:47,204423,198000,198000,2099999,-
13/01/2021 18:00:59,204350,199490,199490,2099999,-
13/01/2021 18:13:30,204350,199490,199490,2099999,-
13/01/2021 19:07:36,204285,199499,199499,2099999,-
13/01/2021 19:20:03,204285,199499,199499,2099999,-
13/01/2021 20:23:29,204285,199499,199499,2099999,-
13/01/2021 20:34:00,204285,199499,199499,2099999,-
14/01/2021 01:03:29,204263,174999,174999,2099999,-
14/01/2021 01:15:56,204263,174999,174999,2099999,-
14/01/2021 03:03:18,204263,174999,174999,2099999,-
14/01/2021 03:15:03,204263,174999,174999,2099999,-
14/01/2021 08:06:49,204260,199400,199400,2100000,-
14/01/2021 08:18:38,204260,199400,199400,2100000,-
14/01/2021 13:32:01,204260,199399,199399,2100000,-
14/01/2021 13:43:34,204260,199399,199399,2100000,-
14/01/2021 16:49:46,204216,199399,199399,2100000,-
14/01/2021 20:18:03,204216,199399,199399,2100000,-
14/01/2021 20:30:59,204216,199399,199399,2100000,-
15/01/2021 00:13:49,203289,199950,199950,1999999,-
15/01/2021 00:26:17,203289,199949,199949,1999999,-
15/01/2021 03:11:18,203275,199999,210000,1999999,-
15/01/2021 03:23:44,203275,199999,210000,1999999,-
15/01/2021 05:21:37,203275,199999,200000,1999999,-
15/01/2021 05:33:48,203275,199999,200000,1999999,-
16/01/2021 05:20:25,202562,210000,210000,2100000,-
16/01/2021 05:32:14,202562,210000,210000,2100000,-
16/01/2021 06:23:09,202562,210000,210000,2100000,-
16/01/2021 06:34:56,202562,210000,210000,2100000,-
16/01/2021 07:26:07,202562,210000,210000,2100000,-
16/01/2021 07:38:11,202562,210000,210000,2100000,-
16/01/2021 08:29:52,202562,209998,209998,2100000,-
16/01/2021 08:41:56,202562,209998,209998,2100000,-
16/01/2021 09:33:33,202562,209998,209998,-,-
16/01/2021 09:45:27,202562,209998,209998,-,-
16/01/2021 10:37:43,202562,180000,180000,-,-
16/01/2021 10:49:50,202562,180000,180000,-,-
16/01/2021 16:03:39,202562,179996,179996,-,-
16/01/2021 16:16:02,202562,179996,179996,-,-
16/01/2021 17:09:33,202562,177777,177777,-,-
16/01/2021 17:22:10,202562,177777,177777,-,-
16/01/2021 19:12:14,202448,177000,177000,1850000,-
16/01/2021 19:25:25,202448,177000,177000,1850000,-
16/01/2021 20:22:27,202448,176999,176999,1850000,-
16/01/2021 20:35:49,202334,177000,177000,1850000,-
16/01/2021 22:50:00,201660,176950,176950,1850000,-
16/01/2021 23:03:38,201660,176950,176950,1850000,-
17/01/2021 00:00:28,201549,176950,176950,1850000,-
17/01/2021 00:13:44,201549,176200,176200,1850000,-
