,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:14:35,3886,1350,1350,-,-
11/01/2021 14:45:55,3886,1350,1350,-,-
11/01/2021 17:45:44,3886,1350,1350,-,-
13/01/2021 12:12:41,3886,-,-,-,-
13/01/2021 13:00:02,3886,2999,2999,-,-
13/01/2021 14:48:50,3886,-,-,-,-
13/01/2021 15:52:14,3886,-,-,-,-
13/01/2021 17:25:12,3886,-,-,-,-
13/01/2021 18:32:31,3886,-,-,-,-
13/01/2021 19:46:30,3886,-,-,-,-
13/01/2021 22:11:34,3886,-,-,-,-
14/01/2021 00:28:07,3886,-,-,-,-
14/01/2021 02:29:13,3886,-,-,-,-
14/01/2021 07:32:46,3886,-,-,-,-
