,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:16:04,6776,2894,2894,49885,-
11/01/2021 14:47:19,6776,2895,2895,49885,-
11/01/2021 17:47:08,6776,2895,2895,49885,-
13/01/2021 12:14:37,6776,2893,2893,49885,-
13/01/2021 13:01:56,6776,2893,2893,49885,-
13/01/2021 14:50:43,6776,2893,2893,49885,-
13/01/2021 15:54:09,6776,2893,2893,49885,-
13/01/2021 17:27:10,6776,2893,2893,49885,-
13/01/2021 18:34:27,6776,2893,2893,49885,-
13/01/2021 19:48:25,6776,2893,2893,49885,-
13/01/2021 22:13:33,6776,2893,2893,49885,-
14/01/2021 00:30:04,6776,2893,2893,49885,-
14/01/2021 02:31:07,6776,2893,2893,49885,-
14/01/2021 07:34:38,6776,2893,2893,49885,-
14/01/2021 12:59:39,6776,2893,2893,49885,-
14/01/2021 16:09:52,6776,2893,2893,49885,-
14/01/2021 19:44:15,6776,2893,2893,49885,-
14/01/2021 23:40:01,6776,2893,2893,49885,-
15/01/2021 02:37:33,6776,2895,2895,49885,-
15/01/2021 04:48:22,6776,2895,2895,49885,-
16/01/2021 04:48:34,6776,2895,2895,49885,-
16/01/2021 05:51:36,6776,2895,2895,49885,-
16/01/2021 06:54:15,6776,2895,2895,49885,-
16/01/2021 07:57:44,6776,2895,2895,49885,-
16/01/2021 09:01:48,6776,2895,2895,49885,-
16/01/2021 10:04:50,6776,2895,2895,49885,-
16/01/2021 11:09:32,6776,2895,2895,49885,-
16/01/2021 15:30:07,6776,2895,2895,49885,-
16/01/2021 16:36:15,6776,2895,2895,49885,-
