,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:58:39,3347,3289,5499,42000,328997
11/01/2021 15:28:17,3345,3280,5499,41998,328000
11/01/2021 18:28:24,3325,3280,5499,41998,328000
14/01/2021 01:51:52,5139,4900,8000,79997,490000
14/01/2021 06:43:52,5065,4899,8000,79997,489999
14/01/2021 06:55:30,5065,4899,8000,79997,489999
14/01/2021 12:21:28,5065,4890,5000,77999,489000
14/01/2021 14:23:21,5065,4890,5000,77999,489000
14/01/2021 15:30:06,5010,4899,5000,77999,489999
14/01/2021 19:03:57,5206,5000,5000,77999,500000
14/01/2021 22:45:35,5206,4999,5000,75000,499999
14/01/2021 22:58:48,5206,4999,5000,75000,499999
15/01/2021 01:56:35,5140,4999,5000,75000,499999
15/01/2021 03:45:04,5140,4999,5000,75000,499999
15/01/2021 04:06:53,5140,4999,5000,75000,499999
15/01/2021 10:58:35,5140,4999,5000,74999,499999
