,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:38:52,3198,950,950,-,-
11/01/2021 02:48:29,3198,950,950,-,-
11/01/2021 15:10:05,3198,950,950,-,-
11/01/2021 15:19:31,3198,950,950,-,-
11/01/2021 18:10:08,3198,950,950,-,-
11/01/2021 18:19:38,3198,950,950,-,-
13/01/2021 14:05:37,3198,950,950,-,-
13/01/2021 14:17:26,3198,950,950,-,-
13/01/2021 15:19:28,3198,950,950,-,-
13/01/2021 16:23:06,3198,950,950,-,-
13/01/2021 16:35:13,3198,950,950,-,-
13/01/2021 17:57:22,3198,950,950,-,-
13/01/2021 18:09:58,3198,950,950,-,-
13/01/2021 19:04:06,3198,950,950,-,-
13/01/2021 19:16:26,3198,950,950,-,-
13/01/2021 20:19:48,3198,949,949,-,-
13/01/2021 20:30:19,3198,949,949,-,-
13/01/2021 22:44:39,10847,1700,1700,-,-
13/01/2021 22:53:55,3198,949,949,-,-
14/01/2021 00:59:51,3198,949,949,-,-
14/01/2021 01:12:23,3198,949,949,-,-
14/01/2021 02:59:54,3198,949,949,-,-
14/01/2021 03:11:42,3198,949,949,-,-
14/01/2021 08:03:26,3198,949,949,-,-
14/01/2021 08:15:17,3198,949,949,-,-
