,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:13:57,261,217,-,2170,27499
11/01/2021 14:45:18,258,217,-,2170,27000
11/01/2021 17:45:06,258,217,-,2170,26700
13/01/2021 12:11:51,796,380,550,3800,96000
13/01/2021 12:59:15,796,380,550,3800,96000
13/01/2021 13:37:34,760,380,-,3800,96000
13/01/2021 14:48:03,760,380,-,3800,96000
13/01/2021 15:51:26,760,380,-,3800,96000
13/01/2021 17:24:22,760,380,-,3800,96000
13/01/2021 18:31:42,760,300,-,3000,96000
13/01/2021 19:45:42,760,300,-,3000,96000
13/01/2021 22:10:45,738,250,1000,2500,94999
14/01/2021 00:27:18,740,250,1000,2500,66000
14/01/2021 02:28:26,740,250,1000,2500,50000
14/01/2021 07:31:58,591,299,1000,2999,49999
14/01/2021 12:57:03,591,299,1000,2999,49999
14/01/2021 16:07:03,372,349,1000,3800,34900
14/01/2021 19:41:30,372,338,1000,3800,33899
14/01/2021 23:37:13,346,300,1000,3000,30000
15/01/2021 02:34:48,332,290,1000,3000,29000
15/01/2021 04:45:39,332,250,1000,3000,25000
16/01/2021 04:45:59,222,149,149,3000,22000
16/01/2021 05:49:01,222,149,149,3000,22000
16/01/2021 06:51:38,222,149,149,3000,22000
16/01/2021 07:55:04,222,149,149,3000,22000
16/01/2021 08:59:11,222,149,149,3000,22000
16/01/2021 10:02:14,222,149,149,3000,22000
16/01/2021 11:06:53,222,149,149,3000,22000
16/01/2021 15:27:15,221,224,999,3000,22499
16/01/2021 16:33:33,221,224,999,3000,22498
16/01/2021 18:35:03,222,223,999,3000,22398
16/01/2021 19:44:15,222,223,999,3000,22398
16/01/2021 20:54:35,222,223,999,3000,22398
16/01/2021 22:11:10,226,223,999,3800,22396
16/01/2021 23:22:37,443,380,999,3800,94999
17/01/2021 01:14:49,443,380,999,3800,45000
17/01/2021 02:09:32,443,349,999,3800,34900
17/01/2021 03:02:46,443,348,999,3800,34899
17/01/2021 03:55:28,443,348,999,3800,34899
17/01/2021 04:49:48,443,348,999,3800,34899
17/01/2021 05:42:27,443,348,999,3800,34899
17/01/2021 06:34:01,443,330,999,3800,33000
17/01/2021 07:26:28,443,330,999,3800,33000
17/01/2021 09:11:11,443,330,999,3800,33000
17/01/2021 10:04:02,443,330,999,3800,33000
17/01/2021 12:19:44,443,329,999,3800,32900
17/01/2021 13:13:13,443,300,999,3800,30000
17/01/2021 14:07:17,443,300,999,3800,30000
17/01/2021 15:00:26,368,300,999,3800,30000
17/01/2021 15:54:51,368,300,999,3800,30000
18/01/2021 13:59:40,284,269,370,2697,27999
18/01/2021 14:31:22,284,269,370,2697,27999
18/01/2021 15:03:55,284,269,370,2697,27999
18/01/2021 16:07:27,290,270,370,3700,27000
18/01/2021 17:15:17,290,269,370,3700,26999
18/01/2021 17:47:13,290,269,370,3700,26999
