,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:19:06,1464,490,490,16899,-
11/01/2021 14:50:30,1464,490,490,16899,-
11/01/2021 17:50:12,1464,490,490,15999,-
13/01/2021 13:05:48,1425,900,900,12000,145000
13/01/2021 13:40:13,1425,900,900,12000,145000
13/01/2021 14:54:38,1425,900,900,12000,145000
13/01/2021 15:58:03,1425,900,900,12000,145000
13/01/2021 17:31:13,1425,900,900,12000,145000
13/01/2021 18:38:31,1425,900,900,12000,145000
13/01/2021 19:52:29,1425,900,900,12000,145000
13/01/2021 22:17:42,1389,1000,1000,11900,145000
14/01/2021 00:34:05,1389,1000,1000,11895,145000
14/01/2021 02:34:59,1389,1000,1000,11895,145000
14/01/2021 07:38:30,1389,999,999,11894,119999
