,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:55:29,773,300,300,4500,59501
11/01/2021 15:25:15,773,300,300,4500,59501
11/01/2021 18:25:21,773,300,300,4500,59501
14/01/2021 02:10:32,759,299,299,4000,59501
14/01/2021 07:14:23,759,299,299,4000,59501
14/01/2021 12:39:32,759,199,199,4000,59501
14/01/2021 14:41:32,759,199,199,4000,59501
14/01/2021 15:48:55,759,199,199,4000,59501
14/01/2021 19:22:58,759,199,199,4000,59501
14/01/2021 23:18:11,730,299,299,3999,49998
15/01/2021 02:16:09,730,299,299,3999,49998
15/01/2021 04:26:34,730,299,299,3999,49998
17/01/2021 01:35:21,700,380,380,-,45000
17/01/2021 02:37:04,700,380,380,-,45000
17/01/2021 05:46:31,700,380,380,-,45000
17/01/2021 06:56:45,700,380,380,-,45000
17/01/2021 09:35:01,700,380,380,-,45000
17/01/2021 11:19:10,700,380,380,-,45000
17/01/2021 12:57:12,700,380,380,-,45000
17/01/2021 14:36:29,700,380,380,-,45000
17/01/2021 16:05:30,700,380,380,-,45000
17/01/2021 18:25:22,700,380,380,-,45000
18/01/2021 14:28:00,700,300,300,3979,45000
18/01/2021 15:29:00,700,300,300,3979,45000
18/01/2021 16:58:46,700,300,300,3979,45000
