,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:55:01,64,10,10,129,2250
11/01/2021 15:24:46,64,10,10,129,2250
11/01/2021 18:24:52,64,10,10,129,2250
14/01/2021 02:09:56,58,12,-,120,2000
14/01/2021 07:13:47,58,12,-,120,2000
14/01/2021 12:38:57,58,12,-,120,2000
14/01/2021 14:40:57,58,12,-,120,2000
14/01/2021 15:48:19,58,12,-,120,2000
14/01/2021 19:22:22,58,12,-,120,2000
14/01/2021 23:17:34,58,12,-,120,2000
15/01/2021 02:15:31,58,12,-,120,2000
15/01/2021 04:25:55,58,12,-,120,2000
