,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:55:27,25175,24399,-,243995,2899999
11/01/2021 15:25:12,25146,23999,-,239999,2899999
11/01/2021 18:25:18,24969,23999,26986,239998,2899999
14/01/2021 02:10:28,24272,23999,25798,239991,2899999
14/01/2021 07:14:20,24256,23000,26995,230000,2899999
14/01/2021 12:39:28,24163,22999,26994,229999,2899999
14/01/2021 14:41:28,24163,22999,26994,229999,2899999
14/01/2021 15:48:52,24163,22999,26994,229999,2899999
14/01/2021 19:22:55,24182,22999,29998,229999,2899999
14/01/2021 23:18:07,24182,22999,24992,229994,2899999
15/01/2021 02:16:06,23960,21499,24990,214999,2899999
15/01/2021 04:26:30,23960,21499,24990,214999,2899999
17/01/2021 01:35:17,21956,17499,19896,174996,2850000
17/01/2021 02:37:00,21956,17499,19896,174996,2850000
17/01/2021 05:46:27,21956,17499,19896,174996,2850000
17/01/2021 06:56:41,21956,17499,19896,174996,2850000
17/01/2021 09:34:57,21956,17499,19896,174996,2850000
17/01/2021 11:19:06,21956,17499,18990,174996,2850000
17/01/2021 12:57:09,21751,17499,18989,174994,2850000
17/01/2021 14:36:25,21751,17499,18989,174994,2850000
17/01/2021 16:05:26,21751,17499,18989,174994,2850000
17/01/2021 18:25:18,-,17499,19896,174994,2850000
18/01/2021 14:27:56,20035,20389,23999,203897,2850000
18/01/2021 15:28:56,20035,20389,23999,203897,2850000
18/01/2021 16:58:43,20035,20389,23997,203897,2850000
