,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:55:04,29883,24499,24499,-,-
11/01/2021 15:24:49,29883,-,-,-,-
11/01/2021 18:24:55,29883,11900,11900,-,-
14/01/2021 02:09:59,29088,-,-,-,-
14/01/2021 07:13:51,29088,-,-,-,-
14/01/2021 12:39:00,29088,-,-,-,-
14/01/2021 14:41:00,29088,24400,24400,-,-
14/01/2021 15:48:23,29088,24399,24399,-,-
14/01/2021 19:22:25,29088,24399,24399,-,-
14/01/2021 23:17:37,29088,24399,24399,-,-
15/01/2021 02:15:35,29088,24399,24399,-,-
15/01/2021 04:25:59,29088,24399,24399,-,-
