,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:40:50,44759,44499,46497,444994,-
11/01/2021 02:50:26,44759,44499,46497,444994,-
11/01/2021 15:11:57,44865,44499,48996,444993,-
11/01/2021 15:21:24,44865,44499,48996,444993,-
11/01/2021 18:12:02,45014,44399,49999,443999,-
11/01/2021 18:21:28,45014,44399,49999,443999,-
13/01/2021 14:08:12,44551,39999,39999,429998,-
13/01/2021 14:20:00,44551,39999,39999,429998,-
13/01/2021 15:22:04,44551,39999,39999,429998,-
13/01/2021 16:25:36,44551,39999,39999,429998,-
13/01/2021 16:37:48,44551,39999,39999,429998,-
13/01/2021 17:59:58,44148,40499,41500,404999,-
13/01/2021 18:12:35,44148,40499,41500,404999,-
13/01/2021 19:06:44,43979,40499,41499,404999,-
13/01/2021 19:19:04,43829,40499,41499,404999,-
13/01/2021 20:22:29,43829,40499,41499,404999,-
13/01/2021 20:32:59,43829,40499,41499,404999,-
14/01/2021 01:02:35,43617,41500,41500,444989,-
14/01/2021 01:15:03,43617,41500,41500,444989,-
14/01/2021 03:02:27,43617,41350,41350,444989,-
14/01/2021 03:14:08,43617,41350,41350,444989,-
14/01/2021 08:05:59,43607,40000,41500,400000,-
14/01/2021 08:17:47,43607,40000,41500,400000,-
14/01/2021 13:31:12,43451,39899,39999,398999,-
14/01/2021 13:42:46,43451,39899,39999,398999,-
14/01/2021 16:48:52,43298,39899,39999,398999,-
14/01/2021 20:17:04,42906,39899,40000,398999,3999999
14/01/2021 20:29:56,42906,39899,40000,398999,3999999
15/01/2021 00:13:01,42230,39999,39999,444993,3999999
15/01/2021 00:25:25,42230,39999,-,444992,3999999
15/01/2021 03:10:19,42230,38999,38999,444992,3999999
15/01/2021 03:22:45,42230,38999,38999,444992,3999999
15/01/2021 05:20:45,42328,38999,38999,444992,3999999
15/01/2021 05:32:59,42328,38999,38999,444992,3999999
16/01/2021 05:19:35,42783,38999,38999,441099,3999999
16/01/2021 05:31:24,42783,38999,38999,441099,3999999
16/01/2021 06:22:19,42766,39999,39999,435000,3999999
16/01/2021 06:34:07,42766,39999,39999,435000,3999999
16/01/2021 07:25:15,42766,39999,39999,435000,3999999
16/01/2021 07:37:21,42766,39999,39999,435000,3999999
16/01/2021 08:29:02,42766,39999,39999,434999,3999999
16/01/2021 08:41:05,42766,39999,39999,434999,3999999
16/01/2021 09:32:44,42768,39999,39999,435000,3999999
16/01/2021 09:44:37,42768,39999,39999,435000,3999999
16/01/2021 10:36:46,42768,39999,39999,434999,3999999
16/01/2021 10:48:53,42768,39999,39999,434000,3999999
16/01/2021 16:02:43,42830,39999,49997,433999,3999999
16/01/2021 16:15:08,42830,39999,49997,433999,3999999
16/01/2021 17:08:36,42830,39999,49997,433999,3999999
16/01/2021 17:21:13,42830,39999,49997,433999,3999999
16/01/2021 19:11:20,42830,39999,49997,429999,3999999
16/01/2021 19:24:29,42830,39999,49997,429999,3999999
16/01/2021 20:21:34,42979,39999,49997,441099,3999999
16/01/2021 20:34:51,42979,39999,49997,441099,3999999
16/01/2021 22:48:59,43028,39999,49995,441098,3999999
16/01/2021 23:02:32,43028,39999,49990,441098,3999999
16/01/2021 23:59:35,43028,39999,49989,441098,3999999
17/01/2021 00:12:42,43028,39999,49989,441098,3999999
