,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:56:29,33838,9999,35000,2,22499,22499,312525000,17678
11/01/2021 13:30:28,33838,9999,35000,2,22499,22499,312525000,17678
11/01/2021 16:29:55,33838,9999,35000,2,22499,22499,312525000,17678
14/01/2021 20:35:18,33736,41000,41000,1,,,,
15/01/2021 00:30:23,33736,41000,41000,1,,,,
15/01/2021 05:38:01,33736,41000,41000,1,,,,
17/01/2021 02:08:42,33736,39999,41000,2,40499,40499,501000,707
17/01/2021 06:27:07,33736,39999,41000,2,40499,40499,501000,707
17/01/2021 10:09:44,33736,39999,41000,2,40499,40499,501000,707
17/01/2021 11:57:41,33736,39999,41000,2,40499,40499,501000,707
17/01/2021 13:32:31,33736,39999,41000,2,40499,40499,501000,707
17/01/2021 15:14:54,33736,39999,41000,2,40499,40499,501000,707
17/01/2021 16:46:34,33736,39999,41000,2,40499,40499,501000,707
18/01/2021 15:07:16,-,40995,41000,2,40997,40997,12,3
18/01/2021 17:36:20,-,40995,41000,2,40997,40997,12,3
