,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:00:17,279665,300000,875000,8,439374,342499,44881724643,211853
11/01/2021 13:34:16,280071,300000,875000,14,418928,324999,31273833351,176844
11/01/2021 16:33:38,280071,300000,875000,14,418928,324999,31273833351,176844
13/01/2021 00:29:34,282738,299950,799999,14,382853,324999,22749507867,150829
13/01/2021 00:58:58,282738,299950,799999,14,382853,324999,22749507867,150829
13/01/2021 01:50:41,282738,299950,799999,14,382853,324999,22749507867,150829
13/01/2021 20:43:49,282738,299950,799999,14,382853,324999,22749507867,150829
13/01/2021 23:04:56,282738,299950,799999,14,382853,324999,22749507867,150829
14/01/2021 01:25:24,285058,299950,1000000,17,471173,324999,61015317792,247012
14/01/2021 03:23:59,285058,299950,1000000,17,471173,324999,61015317792,247012
14/01/2021 08:27:43,285058,299950,1000000,17,471173,324999,61015317792,247012
