,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:35:03,619,650,-,-,65000
11/01/2021 02:44:40,619,650,-,-,65000
11/01/2021 15:06:29,619,650,-,-,65000
11/01/2021 15:15:55,619,650,-,-,65000
11/01/2021 18:06:28,619,650,-,-,65000
11/01/2021 18:15:58,619,650,-,-,65000
13/01/2021 14:00:38,629,650,-,8000,65000
13/01/2021 14:12:28,629,650,-,8000,65000
13/01/2021 15:14:26,629,650,-,8000,65000
13/01/2021 16:18:06,629,650,-,8000,65000
13/01/2021 16:30:18,629,650,-,8000,65000
13/01/2021 17:52:13,629,650,-,8000,65000
13/01/2021 18:04:52,629,650,-,8000,65000
13/01/2021 18:58:59,643,660,-,8000,66064
13/01/2021 19:11:19,643,660,-,8000,66064
13/01/2021 20:14:25,643,660,-,8000,66064
13/01/2021 20:25:15,643,660,-,8000,66064
13/01/2021 22:39:16,643,660,-,8000,66064
13/01/2021 22:48:27,643,660,-,8000,66064
14/01/2021 00:54:31,643,660,-,8000,66064
14/01/2021 01:07:17,643,660,-,8000,66064
14/01/2021 02:55:04,643,660,-,8000,66064
14/01/2021 03:06:53,643,660,-,8000,66064
14/01/2021 07:58:54,643,660,-,8000,66064
14/01/2021 08:10:41,643,660,-,8000,66064
14/01/2021 13:24:11,643,660,-,8000,66064
14/01/2021 13:35:51,643,660,-,8000,66064
15/01/2021 03:02:36,755,1330,-,-,133000
15/01/2021 03:15:14,755,1330,-,-,133000
15/01/2021 05:13:23,755,1330,-,-,133000
15/01/2021 05:25:36,755,1330,-,-,133000
16/01/2021 05:12:30,755,1330,1999,14444,133000
16/01/2021 05:24:23,755,1330,1999,14444,133000
16/01/2021 06:15:17,755,1330,1999,14444,133000
16/01/2021 06:27:06,755,1330,1999,14444,133000
16/01/2021 07:17:59,755,1330,1999,14444,133000
16/01/2021 07:30:12,755,1330,1999,14444,133000
16/01/2021 08:22:00,755,1330,1999,14444,133000
16/01/2021 08:33:49,755,1330,1999,14444,133000
16/01/2021 09:25:43,755,1330,1999,14444,133000
16/01/2021 09:37:29,755,1330,1999,14444,133000
16/01/2021 10:29:33,755,1330,1999,14444,133000
16/01/2021 10:41:46,755,1330,1999,14444,133000
16/01/2021 15:55:12,755,1329,1999,14444,132999
16/01/2021 16:07:48,755,1329,1999,14444,132999
16/01/2021 17:01:11,755,1329,1999,14444,132999
16/01/2021 17:13:43,755,1329,1999,14444,132999
16/01/2021 19:03:47,755,1329,1999,14444,132999
16/01/2021 19:16:33,755,1329,1999,14444,132999
16/01/2021 20:14:00,1057,1444,1999,14444,-
16/01/2021 20:27:03,1057,1444,1999,14444,-
16/01/2021 22:41:05,1057,1444,1999,14444,-
16/01/2021 22:54:33,1057,1444,1999,14444,-
16/01/2021 23:51:58,1057,1444,1999,14444,-
17/01/2021 00:04:53,1057,1444,1999,14444,-
17/01/2021 01:43:13,1057,1444,1999,14444,-
17/01/2021 02:36:58,1057,1444,1999,14444,-
17/01/2021 03:29:45,1057,1444,1999,14444,-
17/01/2021 04:23:00,1057,1444,1999,14444,-
17/01/2021 05:17:20,1057,1444,1999,14444,-
17/01/2021 06:08:58,1057,1444,1999,14443,-
17/01/2021 07:01:01,1057,1444,1999,14443,-
17/01/2021 07:53:08,1057,1444,1999,14443,-
17/01/2021 09:37:54,1057,1444,1999,14443,-
17/01/2021 10:32:09,1057,-,-,-,-
17/01/2021 12:47:37,1052,1444,1900,14443,-
17/01/2021 13:41:13,1052,1444,1900,14443,-
17/01/2021 14:34:30,1052,1444,1900,14443,-
17/01/2021 15:28:40,1052,1444,1900,14443,-
17/01/2021 16:23:09,1052,1444,1900,14443,-
