,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:58:26,105,68,1200,7000,6800
11/01/2021 15:28:04,132,134,1200,7000,13499
11/01/2021 18:28:11,136,134,1200,7000,13498
14/01/2021 01:51:31,89,122,1200,7000,12299
14/01/2021 06:43:31,101,89,1200,1250,8999
14/01/2021 06:55:09,101,89,1200,1250,8999
14/01/2021 12:21:05,126,119,1200,-,11900
14/01/2021 14:22:59,107,99,1200,-,9999
14/01/2021 15:29:46,101,100,1200,1999,10000
14/01/2021 19:03:36,121,79,1200,1999,7998
14/01/2021 22:45:14,89,100,1000,1999,10000
14/01/2021 22:58:27,89,99,1000,1999,9999
15/01/2021 01:56:13,86,99,1000,1999,9999
15/01/2021 03:44:44,116,119,1000,1999,11999
15/01/2021 04:06:32,116,119,1000,1999,11900
15/01/2021 10:58:14,116,108,1000,1999,10898
17/01/2021 01:24:19,99,98,400,1400,9899
17/01/2021 05:35:01,97,97,400,1400,9791
17/01/2021 09:23:18,95,84,400,1400,8499
17/01/2021 11:08:36,92,98,400,1400,9898
17/01/2021 12:44:58,86,85,400,1400,8500
17/01/2021 14:24:52,99,99,400,1400,9900
17/01/2021 15:53:46,103,99,400,1400,9990
17/01/2021 18:13:28,105,108,400,-,10887
18/01/2021 14:17:22,85,84,1200,-,8498
18/01/2021 16:48:11,84,84,1200,-,8497
