,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:07:01,1369510,1499989,1499989,-,-
11/01/2021 14:38:22,1369510,1449999,1449999,-,-
11/01/2021 17:38:07,1370587,1499898,1499898,-,-
13/01/2021 12:03:01,1366879,1299996,1299996,-,-
13/01/2021 12:50:29,1366879,1299996,1299996,-,-
13/01/2021 13:28:42,1366879,1299996,1299996,-,-
13/01/2021 14:39:30,1366879,1299996,1299996,-,-
13/01/2021 15:42:49,1366879,1299996,1299996,-,-
13/01/2021 17:15:33,1366280,1299999,1299999,-,-
13/01/2021 18:22:47,1366280,1299999,1299999,-,-
13/01/2021 19:36:38,1365983,1499898,1499898,-,-
14/01/2021 02:19:43,1366913,1450000,1450000,-,-
14/01/2021 07:23:29,1366913,1450000,1450000,-,-
14/01/2021 12:48:28,1366913,1449999,1449999,-,-
14/01/2021 15:58:08,1367603,1445000,1445000,-,-
14/01/2021 19:32:22,1369345,1488999,1488999,-,-
14/01/2021 23:28:11,1369345,1480000,1480000,-,-
15/01/2021 02:25:51,1369841,-,-,-,-
15/01/2021 04:36:28,1369841,-,-,-,-
16/01/2021 04:36:56,1370691,1399999,1399999,-,-
16/01/2021 05:40:03,1370691,1399999,1399999,-,-
16/01/2021 06:42:50,1370691,1399999,1399999,-,-
16/01/2021 07:46:04,1370691,1399999,1399999,-,-
16/01/2021 08:50:03,1370691,1399999,1399999,-,-
16/01/2021 09:53:20,1370691,1399998,1399998,-,-
16/01/2021 10:57:44,1370691,1399998,1399998,-,-
16/01/2021 15:17:38,1370691,1399998,1399998,-,-
16/01/2021 16:24:14,1370691,1399998,1399998,-,-
16/01/2021 18:25:11,1370691,1299996,1299996,-,-
16/01/2021 18:25:15,1370691,1299996,1299996,-,-
16/01/2021 19:34:14,1370374,1299996,1299996,-,-
16/01/2021 19:34:18,1370374,1299996,1299996,-,-
16/01/2021 20:44:37,1370058,1299996,1299996,-,-
16/01/2021 20:44:41,1370058,1299996,1299996,-,-
16/01/2021 22:01:02,1369431,1299998,1299998,-,-
16/01/2021 22:01:06,1369431,1299998,1299998,-,-
16/01/2021 23:12:31,1369431,-,-,-,-
16/01/2021 23:12:35,1369431,-,-,-,-
17/01/2021 01:05:17,1369120,1299996,1299996,-,-
17/01/2021 01:05:20,1369120,1299996,1299996,-,-
17/01/2021 01:59:57,1369120,1299996,1299996,-,-
17/01/2021 02:00:01,1369120,1299996,1299996,-,-
17/01/2021 02:53:27,1369120,1299996,1299996,-,-
17/01/2021 02:53:30,1369120,1299996,1299996,-,-
17/01/2021 03:46:18,1369120,1299996,1299996,-,-
17/01/2021 03:46:21,1369120,1299996,1299996,-,-
17/01/2021 04:39:55,1369120,1299996,1299996,-,-
17/01/2021 04:39:59,1369120,1299996,1299996,-,-
17/01/2021 05:33:21,1369120,1299996,1299996,-,-
17/01/2021 05:33:24,1369120,1299996,1299996,-,-
17/01/2021 06:24:48,1369120,1299996,1299996,-,-
17/01/2021 06:24:52,1369120,1299996,1299996,-,-
17/01/2021 07:17:04,1369120,1299996,1299996,-,-
17/01/2021 07:17:07,1369120,1299996,1299996,-,-
17/01/2021 09:01:54,1369120,1299995,1299995,-,-
17/01/2021 09:01:57,1369120,1299995,1299995,-,-
17/01/2021 09:54:33,1369120,1299995,1299995,-,-
17/01/2021 09:54:37,1369120,1299995,1299995,-,-
17/01/2021 12:10:18,1369120,1299995,1299995,-,-
17/01/2021 12:10:22,1369120,1299995,1299995,-,-
17/01/2021 13:03:50,1368810,1299995,1299995,-,-
17/01/2021 13:03:54,1368810,1299995,1299995,-,-
17/01/2021 13:57:42,1368810,1299995,1299995,-,-
17/01/2021 13:57:45,1368810,1299995,1299995,-,-
17/01/2021 14:50:44,1368810,-,-,-,-
17/01/2021 14:50:47,1368810,-,-,-,-
17/01/2021 15:45:25,1366979,1299998,1299998,-,-
17/01/2021 15:45:28,1366979,1299998,1299998,-,-
18/01/2021 17:37:55,1363941,1149999,1149999,-,-
18/01/2021 17:37:59,1363941,1149999,1149999,-,-
