,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:05:18,6953,7499,7500,74999,-
11/01/2021 14:36:48,6953,7499,7500,74999,-
11/01/2021 17:36:32,6953,7499,7500,74999,-
13/01/2021 12:00:43,6976,7490,8000,74900,-
13/01/2021 12:48:10,6976,7490,8000,74900,-
13/01/2021 13:26:22,6976,7490,8000,74900,-
13/01/2021 14:37:16,6976,7490,7900,74900,-
13/01/2021 15:40:36,6976,7490,7900,74900,-
13/01/2021 17:13:12,6976,7490,7900,74900,-
13/01/2021 18:20:27,6976,7490,7900,74900,-
13/01/2021 19:34:18,6976,7490,7900,74900,-
13/01/2021 21:59:42,7020,7900,7900,-,-
14/01/2021 00:16:31,7020,7900,7900,-,-
14/01/2021 02:17:31,7020,7900,7900,-,-
14/01/2021 07:21:13,7020,7900,7900,-,-
14/01/2021 12:46:20,7020,7900,7900,-,-
14/01/2021 15:56:03,7020,7900,7900,-,-
14/01/2021 19:30:07,7020,7900,7900,-,-
14/01/2021 23:25:47,7020,7900,7900,-,-
15/01/2021 02:23:36,7020,7900,7900,-,-
15/01/2021 04:34:13,7020,7900,7900,-,-
16/01/2021 04:34:44,7020,5000,5000,-,-
16/01/2021 05:37:54,7020,5000,5000,-,-
16/01/2021 06:40:40,7020,5000,5000,-,-
16/01/2021 07:43:55,7020,5000,5000,-,-
16/01/2021 08:47:48,7020,5000,5000,-,-
16/01/2021 09:51:09,7020,5000,5000,-,-
16/01/2021 10:55:33,7020,5000,5000,-,-
16/01/2021 15:15:15,7020,5000,5000,-,-
16/01/2021 16:21:56,7020,4999,4999,-,-
16/01/2021 18:22:49,7020,4999,4999,-,-
16/01/2021 19:31:52,7020,4999,4999,-,-
16/01/2021 20:42:15,7020,4999,4999,-,-
16/01/2021 21:58:40,7020,4999,4999,-,-
16/01/2021 23:10:09,7020,4999,4999,-,-
17/01/2021 01:03:01,7020,4999,4999,-,-
17/01/2021 01:57:43,7020,4999,4999,-,-
17/01/2021 02:51:15,7020,4999,4999,-,-
17/01/2021 03:44:13,7020,4999,4999,-,-
17/01/2021 04:37:40,7020,4999,4999,-,-
17/01/2021 05:31:10,7020,4999,4999,-,-
17/01/2021 06:22:43,7020,4999,4999,-,-
17/01/2021 07:14:52,7020,4999,4999,-,-
17/01/2021 08:59:47,7020,4999,4999,-,-
17/01/2021 09:52:25,7020,4999,4999,-,-
17/01/2021 12:08:03,7020,4999,4999,-,-
17/01/2021 13:01:43,7020,4999,4999,-,-
17/01/2021 13:55:33,7020,4999,4999,-,-
17/01/2021 14:48:36,7020,4999,4999,-,-
17/01/2021 15:43:14,7020,4999,4999,-,-
18/01/2021 14:18:54,7011,5000,5000,-,-
18/01/2021 14:53:36,7011,5000,5000,-,-
18/01/2021 15:56:27,7011,5000,5000,-,-
18/01/2021 16:33:27,7011,5000,5000,-,-
18/01/2021 17:03:58,7011,5000,5000,-,-
18/01/2021 17:35:29,7011,5000,5000,-,-
18/01/2021 18:06:31,7011,5000,5000,-,-
