,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:06:25,39503,34899,41899,348999,-
11/01/2021 14:37:52,39560,34899,42998,348997,-
11/01/2021 17:37:36,39351,34899,42999,348997,-
13/01/2021 12:02:13,37989,38499,38499,399998,-
13/01/2021 12:49:45,37989,38499,38499,399998,-
13/01/2021 13:27:58,38085,38998,38998,399998,-
13/01/2021 14:38:48,38085,38998,38998,399998,-
13/01/2021 15:42:07,38101,38989,38989,399998,-
13/01/2021 17:14:48,38187,38989,38989,399999,-
13/01/2021 18:22:03,38187,38000,38000,399999,-
13/01/2021 19:35:54,38265,38000,38000,399999,-
14/01/2021 00:17:56,38279,38990,38990,399997,-
14/01/2021 02:19:02,38359,38990,38990,399997,-
14/01/2021 07:22:43,38344,38990,38990,399997,-
14/01/2021 12:47:44,38344,38990,38990,399997,-
14/01/2021 15:57:31,38446,38990,38990,399997,-
14/01/2021 19:31:35,38593,39999,42000,399997,-
14/01/2021 23:27:22,38861,39999,43950,399996,-
15/01/2021 02:25:05,38741,39988,39999,399888,-
15/01/2021 04:35:41,38752,39988,40000,399888,-
16/01/2021 04:36:05,39173,39399,42990,393997,-
16/01/2021 05:39:15,39183,39399,42990,393997,-
16/01/2021 06:42:01,39251,39399,42990,393997,-
16/01/2021 07:45:16,39251,39399,42990,393997,-
16/01/2021 08:49:13,39251,39399,42990,393997,-
16/01/2021 09:52:35,39251,39399,42990,393997,-
16/01/2021 10:56:59,39251,39200,42990,392000,-
16/01/2021 15:16:48,-,38000,38000,391999,-
16/01/2021 16:23:27,-,38000,38000,391999,-
16/01/2021 18:24:23,-,38000,38000,391999,-
16/01/2021 19:33:29,39241,38000,38000,391999,-
16/01/2021 20:43:53,39241,37999,37999,389999,-
16/01/2021 22:00:18,39241,37999,37999,389999,-
16/01/2021 23:11:43,39241,37900,37900,389949,-
