,average_sold_price,min_selling_price,per_1,per_10,per_100
13/01/2021 12:01:05,432,430,430,4320,-
13/01/2021 12:48:32,432,430,430,4320,-
13/01/2021 13:26:45,432,430,430,4320,-
13/01/2021 14:37:38,432,430,430,4320,-
13/01/2021 15:40:57,432,430,430,4320,-
13/01/2021 17:13:35,432,430,430,4320,-
13/01/2021 18:20:50,432,430,430,4320,-
13/01/2021 19:34:40,432,430,430,4320,-
14/01/2021 00:16:55,428,899,1000,8999,-
14/01/2021 02:17:53,428,899,1000,8999,-
14/01/2021 07:21:30,428,899,1000,8999,-
14/01/2021 12:46:37,428,899,1000,8999,-
14/01/2021 15:56:21,428,889,1000,8899,-
14/01/2021 19:30:26,428,889,1000,8899,-
14/01/2021 23:26:07,428,888,888,8899,-
15/01/2021 02:23:55,428,888,888,8899,-
15/01/2021 04:34:31,428,888,888,8899,-
16/01/2021 04:35:01,428,420,888,4200,-
16/01/2021 05:38:12,428,420,888,4200,-
16/01/2021 06:40:57,428,420,888,4200,-
16/01/2021 07:44:13,428,420,888,4200,-
16/01/2021 08:48:07,428,420,888,4200,-
16/01/2021 09:51:27,428,419,888,4199,-
16/01/2021 10:55:51,428,399,888,3999,-
16/01/2021 15:15:35,428,399,888,3999,-
16/01/2021 16:22:15,428,399,888,3999,-
16/01/2021 18:23:09,428,399,888,3999,-
16/01/2021 19:32:13,428,399,888,3999,-
16/01/2021 20:42:36,428,399,888,3999,-
16/01/2021 21:59:01,428,399,888,3999,-
16/01/2021 23:10:29,428,399,888,3999,-
