,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:06:36,9014,1000,2400,10000,-
11/01/2021 02:06:42,9014,1000,2400,10000,-
11/01/2021 14:38:03,9014,1000,2400,10000,-
11/01/2021 17:37:48,9014,1000,2400,10000,-
13/01/2021 12:02:24,9014,1000,2400,10000,-
13/01/2021 12:02:32,9014,1000,2400,10000,-
13/01/2021 12:50:00,9014,1000,2400,10000,-
13/01/2021 13:28:13,9014,1000,2400,10000,-
13/01/2021 14:39:02,9014,1000,2400,10000,-
13/01/2021 15:42:22,9014,1000,2400,10000,-
13/01/2021 17:15:04,9014,1000,2400,10000,-
13/01/2021 18:22:18,9014,1000,2400,10000,-
13/01/2021 19:36:09,9014,1000,2400,10000,-
13/01/2021 22:02:26,8585,8500,8500,-,-
13/01/2021 22:02:30,8585,8500,8500,-,-
14/01/2021 00:18:12,8585,8500,8500,-,-
14/01/2021 02:19:16,8585,8500,8500,-,-
14/01/2021 07:22:54,8585,8500,8500,-,-
14/01/2021 07:23:01,8585,8500,8500,-,-
