,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:22:33,1334,800,995,8000,99900
11/01/2021 14:54:04,1334,800,-,8000,99890
11/01/2021 17:53:46,1334,800,-,8000,99890
13/01/2021 13:44:53,1289,800,-,8000,98999
13/01/2021 14:58:59,1289,800,-,8000,98999
13/01/2021 16:02:35,1289,800,-,8000,98999
13/01/2021 17:35:56,1289,800,-,8000,98999
13/01/2021 18:43:10,1289,800,-,8000,98999
13/01/2021 19:57:12,1289,800,-,8000,98999
13/01/2021 22:22:30,1289,800,899,8000,98999
14/01/2021 00:38:47,1289,800,899,8000,98999
14/01/2021 02:39:29,1289,800,899,8000,98999
14/01/2021 07:43:00,1289,800,899,8000,98999
14/01/2021 13:08:04,1289,800,899,8000,98999
14/01/2021 16:18:44,1289,800,899,8000,98999
14/01/2021 19:52:47,1289,800,899,8000,90000
14/01/2021 23:48:44,1163,899,899,10000,90000
15/01/2021 02:46:07,1163,899,899,10000,90000
15/01/2021 04:57:02,1163,899,899,14000,90000
16/01/2021 04:56:39,1163,800,800,9800,89999
16/01/2021 05:59:39,1163,800,800,9800,89999
16/01/2021 07:02:20,1163,800,800,9800,89999
16/01/2021 08:06:08,1163,800,800,9800,89999
16/01/2021 09:09:52,1163,800,800,9800,89999
16/01/2021 10:13:34,1163,800,800,9800,89999
16/01/2021 11:17:55,1163,800,800,9800,89999
16/01/2021 15:39:06,1163,800,800,9800,89999
16/01/2021 16:44:57,1163,800,800,9800,89999
16/01/2021 18:46:55,1163,800,800,9800,89999
16/01/2021 19:56:40,1163,800,800,9800,89999
16/01/2021 22:23:34,1163,800,800,9800,89999
16/01/2021 23:34:39,1163,800,800,9800,89999
17/01/2021 01:26:31,1163,800,800,9800,89997
17/01/2021 02:21:04,1163,800,800,9800,89997
17/01/2021 03:14:10,1163,800,800,9800,89997
17/01/2021 04:06:47,1163,800,800,9800,89997
17/01/2021 05:01:20,1163,800,800,9800,89997
17/01/2021 05:53:25,1163,800,800,9800,89997
17/01/2021 06:45:19,1163,800,800,9800,89997
17/01/2021 07:37:28,1163,800,800,9800,89997
17/01/2021 09:22:23,1163,800,800,9799,89997
17/01/2021 10:16:02,1163,800,800,9799,89997
17/01/2021 12:31:29,1163,800,800,9798,89997
17/01/2021 13:24:51,1163,800,800,9798,89997
17/01/2021 14:18:43,1163,800,800,9798,89997
17/01/2021 15:12:11,1163,800,800,9798,89997
17/01/2021 16:06:32,1163,800,800,9798,89997
18/01/2021 14:35:43,1163,800,800,9798,89996
18/01/2021 15:07:42,1163,800,800,9798,89996
18/01/2021 15:37:34,1163,800,800,9798,89996
18/01/2021 17:19:14,1163,800,800,9798,89000
18/01/2021 18:21:46,1163,800,800,9798,89000
