,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:05:35,41,39,-,-,3999
11/01/2021 14:37:05,41,39,-,-,3999
11/01/2021 17:36:49,40,39,-,-,3999
13/01/2021 12:01:13,40,34,-,-,3499
13/01/2021 12:48:40,40,34,-,-,3499
13/01/2021 13:26:53,40,34,-,-,3499
13/01/2021 14:37:46,40,34,-,-,3499
13/01/2021 15:41:05,40,34,-,-,3499
13/01/2021 17:13:43,40,34,-,-,3499
13/01/2021 18:20:58,40,34,-,-,3499
13/01/2021 19:34:49,40,34,-,-,3499
13/01/2021 22:00:10,93,65,100,3444,6500
13/01/2021 22:01:09,38,35,-,-,3500
14/01/2021 00:17:03,38,35,-,-,3500
14/01/2021 02:18:01,38,35,-,-,3500
14/01/2021 07:21:38,38,35,-,-,3500
