,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:37:38,1914,46333,46333,-,-
11/01/2021 02:47:14,1914,46333,46333,-,-
11/01/2021 15:09:05,1914,46333,46333,-,-
11/01/2021 15:18:30,1914,46333,46333,-,-
11/01/2021 18:09:04,1914,46333,46333,-,-
11/01/2021 18:18:34,1914,46333,46333,-,-
13/01/2021 14:04:17,2100,5000,5000,-,-
13/01/2021 14:16:05,2100,5000,5000,-,-
13/01/2021 15:18:05,2100,5000,5000,-,-
13/01/2021 16:21:45,2100,5000,5000,-,-
13/01/2021 16:33:52,2100,5000,5000,-,-
13/01/2021 17:55:58,2100,5000,5000,-,-
13/01/2021 18:08:35,2100,5000,5000,-,-
13/01/2021 19:02:43,2100,5000,5000,-,-
13/01/2021 19:15:05,2100,5000,5000,-,-
13/01/2021 20:18:22,2100,5000,5000,-,-
13/01/2021 20:28:56,2100,5000,5000,-,-
13/01/2021 22:43:14,2100,-,-,-,-
13/01/2021 22:52:27,2100,-,-,-,-
14/01/2021 00:58:27,2100,-,-,-,-
14/01/2021 01:11:01,2100,-,-,-,-
14/01/2021 02:58:36,2100,-,-,-,-
14/01/2021 03:10:22,2100,-,-,-,-
14/01/2021 08:02:02,2091,5000,5000,-,-
14/01/2021 08:13:51,2091,5000,5000,-,-
