,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:08:31,1312,999,1300,9999,-
11/01/2021 14:39:52,1312,999,1300,9999,-
11/01/2021 17:39:38,1312,999,1300,9999,-
14/01/2021 12:50:20,1278,1050,1050,11500,-
14/01/2021 16:00:03,1276,1150,-,11500,-
14/01/2021 19:34:12,1271,1100,1100,-,-
14/01/2021 23:29:58,1270,15000,15000,-,-
15/01/2021 02:27:35,1270,14999,14999,-,-
15/01/2021 04:38:13,1270,14999,14999,-,-
16/01/2021 04:38:41,1266,1000,1000,-,-
16/01/2021 05:41:44,1266,1000,1000,-,-
16/01/2021 06:44:30,1266,1000,1000,-,-
16/01/2021 07:47:45,1266,1000,1000,-,-
16/01/2021 08:51:47,1266,1000,1000,-,-
16/01/2021 09:55:02,1266,1000,1000,-,-
16/01/2021 10:59:36,1266,1000,1000,-,-
16/01/2021 15:19:28,1265,-,-,-,-
16/01/2021 16:26:00,1265,-,-,-,-
16/01/2021 18:27:12,1265,-,-,-,-
16/01/2021 19:36:15,1265,999,999,-,-
16/01/2021 20:46:37,1265,999,999,-,-
16/01/2021 22:03:15,1265,999,999,-,-
16/01/2021 23:14:33,1265,999,999,-,-
17/01/2021 01:07:16,1265,999,999,-,-
17/01/2021 02:01:53,1265,999,999,-,-
17/01/2021 02:55:22,1265,999,999,-,-
17/01/2021 03:48:08,1265,999,999,-,-
17/01/2021 04:41:53,1265,999,999,-,-
17/01/2021 05:35:14,1265,999,999,-,-
17/01/2021 06:26:37,1265,999,999,-,-
17/01/2021 07:18:57,1265,999,999,-,-
17/01/2021 09:03:44,1265,999,999,-,-
17/01/2021 09:56:23,1265,999,999,-,-
17/01/2021 12:12:15,1265,999,999,-,-
17/01/2021 13:05:42,1265,999,999,-,-
17/01/2021 13:59:46,1265,999,999,10000,-
17/01/2021 14:52:47,1265,999,999,10000,-
17/01/2021 15:47:27,1265,999,999,10000,-
18/01/2021 14:21:52,1265,900,900,10000,-
18/01/2021 14:55:59,1262,900,900,10000,-
18/01/2021 15:24:57,1262,900,900,10000,-
18/01/2021 15:58:55,1262,900,900,10000,-
