,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:08:18,3289,3250,4800,39996,325000
11/01/2021 14:39:39,3289,3240,4800,34999,324000
11/01/2021 17:39:25,3289,3240,4800,34000,324000
13/01/2021 12:04:31,3292,3239,3999,39994,323999
13/01/2021 12:51:58,3292,3239,3999,38999,323999
13/01/2021 13:30:12,3292,3239,3999,38999,323999
13/01/2021 14:40:55,3292,3239,3999,38999,323999
13/01/2021 15:44:15,3405,3239,323998,38999,323999
13/01/2021 17:16:41,3405,3239,3800,38999,323999
13/01/2021 18:24:18,3405,3239,3333,38999,323999
14/01/2021 00:19:47,3405,2999,3000,29990,323999
14/01/2021 02:21:10,3405,2999,3000,29990,323999
14/01/2021 07:24:53,3405,2999,3000,29990,323998
