,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:06:11,33477,50000,130000,4,70000,50000,1600000000,40000
11/01/2021 13:40:14,33910,33500,130000,8,57562,50000,889102678,29817
11/01/2021 16:39:33,33910,33500,130000,8,57562,50000,889102678,29817
13/01/2021 00:37:34,34335,33000,50000,8,43333,48500,71144761,8434
13/01/2021 01:07:02,34335,33000,50000,8,43333,48500,71144761,8434
13/01/2021 01:58:52,34330,33000,50000,8,45416,50000,58247182,7631
13/01/2021 20:51:44,34278,47000,150000,8,61750,50000,1273357142,35684
13/01/2021 23:13:22,34278,47000,150000,8,61750,50000,1273357142,35684
14/01/2021 01:33:24,34278,47000,150000,8,61750,50000,1273357142,35684
14/01/2021 03:31:53,34278,47000,150000,8,61750,50000,1273357142,35684
14/01/2021 08:35:39,34278,46999,150000,11,57726,50000,938826763,30640
