,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:03:38,19241,21110,21110,234000,-
11/01/2021 14:35:08,19241,20999,20999,234000,-
11/01/2021 17:34:52,19241,20999,20999,234000,-
13/01/2021 11:58:29,19241,20000,20000,233995,-
13/01/2021 12:45:57,19241,20000,20000,233995,-
13/01/2021 13:24:07,19241,20000,20000,233995,-
13/01/2021 14:35:08,19241,20000,20000,233995,-
13/01/2021 15:38:28,19241,20000,20000,233995,-
13/01/2021 17:10:57,19241,20000,20000,233994,-
13/01/2021 18:18:11,19241,20000,20000,233994,-
13/01/2021 19:32:01,19241,20000,20000,233994,-
13/01/2021 21:57:24,19241,20000,20000,233994,-
14/01/2021 00:14:06,19241,20000,20000,233993,-
14/01/2021 02:15:23,19241,19999,19999,233993,-
14/01/2021 07:19:04,19241,19000,19000,233993,-
