,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:08:58,334,299,-,3000,29999
11/01/2021 14:40:19,334,250,250,2900,29998
11/01/2021 17:40:05,334,250,250,2900,29998
13/01/2021 12:05:17,364,340,340,3600,34999
13/01/2021 12:52:45,364,340,340,3600,34999
13/01/2021 13:31:01,364,340,340,3600,34999
13/01/2021 14:41:40,364,340,340,3600,34999
13/01/2021 15:45:01,364,340,340,3600,34999
13/01/2021 17:17:29,364,340,340,3600,34999
13/01/2021 18:25:04,364,340,340,3600,34999
13/01/2021 19:39:06,364,340,340,3600,34999
13/01/2021 22:03:09,364,340,340,3600,34998
14/01/2021 00:20:37,364,340,340,3600,34998
14/01/2021 02:21:55,364,340,340,3600,34998
14/01/2021 07:25:37,364,340,340,3600,34998
14/01/2021 12:50:46,364,340,340,3600,34998
14/01/2021 16:00:30,364,340,340,3600,34998
14/01/2021 19:34:40,364,340,340,3600,34998
14/01/2021 23:30:29,364,299,340,3600,29999
15/01/2021 02:28:07,364,299,340,3600,29999
15/01/2021 04:38:49,364,298,340,3600,29888
16/01/2021 04:39:16,364,298,-,3590,29800
16/01/2021 05:42:17,364,298,-,3590,29800
16/01/2021 06:45:03,364,298,-,3590,29800
16/01/2021 07:48:18,364,298,-,3590,29800
16/01/2021 08:52:20,364,298,-,3590,29800
16/01/2021 09:55:35,364,298,-,3589,29800
16/01/2021 11:00:09,364,298,-,3589,29800
16/01/2021 15:20:04,364,298,-,3589,29800
16/01/2021 16:26:35,364,298,-,3589,29800
16/01/2021 18:27:49,364,289,-,3589,28999
16/01/2021 19:36:51,364,289,-,3589,28990
16/01/2021 20:47:12,364,289,-,3589,28990
16/01/2021 22:03:52,364,289,-,3589,28990
16/01/2021 23:15:10,364,289,-,3589,28990
