,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:59:24,52537,44444,160000,35,81408,77770,788228439,28075
11/01/2021 13:33:24,52422,43999,160000,38,79849,77770,918204822,30301
11/01/2021 16:32:46,52310,43999,160000,35,84636,77770,1003929804,31684
13/01/2021 00:28:23,52498,59998,160000,43,76089,62222,623489589,24969
13/01/2021 00:57:47,52498,59998,160000,43,76089,62222,623489589,24969
13/01/2021 01:49:31,52498,59000,160000,47,78101,62222,759115596,27552
13/01/2021 20:42:43,53128,53000,160000,38,73631,58999,676405684,26007
13/01/2021 23:03:44,53091,53000,160000,38,73631,58999,676405684,26007
14/01/2021 01:24:13,53091,53000,160000,38,73631,58999,676405684,26007
14/01/2021 03:22:56,53091,50000,160000,38,73398,58999,685567986,26183
14/01/2021 08:26:38,53091,50000,160000,38,73398,58999,685567986,26183
