,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:09:35,22306,25000,-,250000,-
11/01/2021 14:40:56,22445,28000,28000,-,-
11/01/2021 17:40:42,22445,27900,27900,-,-
13/01/2021 12:06:06,22494,26999,26999,-,-
13/01/2021 12:53:33,22494,26999,26999,-,-
13/01/2021 13:31:49,22494,26999,26999,-,-
13/01/2021 14:42:27,22494,26999,26999,289999,-
13/01/2021 15:45:49,22494,26999,26999,289999,-
13/01/2021 17:18:23,22494,26999,26999,289999,-
13/01/2021 18:25:51,22494,26999,26999,289999,-
13/01/2021 19:39:55,22494,26999,26999,289999,-
13/01/2021 22:04:04,22494,26999,26999,289999,-
14/01/2021 00:21:27,22494,26999,26999,289999,-
14/01/2021 02:22:43,22494,26999,26999,289999,-
14/01/2021 07:26:24,22494,26999,26999,289999,-
