,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:37:55,2134,1300,1750,13000,203000
11/01/2021 02:47:31,2134,1300,1750,13000,203000
11/01/2021 15:09:17,2134,1300,1750,13000,203000
11/01/2021 15:18:43,2134,1300,1750,13000,203000
11/01/2021 18:09:16,2098,1750,1750,20000,203000
11/01/2021 18:18:46,2098,1750,1750,20000,203000
13/01/2021 14:04:35,2080,1299,2500,12990,203000
13/01/2021 14:16:24,2080,1299,2500,12990,203000
13/01/2021 15:18:24,2080,1299,2500,12990,203000
13/01/2021 16:22:03,2080,1299,2500,12990,203000
13/01/2021 16:34:10,2080,1299,2500,12990,203000
13/01/2021 17:56:17,2080,1299,2500,12990,203000
13/01/2021 18:08:54,2080,1299,2500,12990,203000
13/01/2021 19:03:01,2080,1299,2500,12990,203000
13/01/2021 19:15:22,2080,1299,2500,12990,203000
13/01/2021 20:18:42,2080,1299,2500,12990,203000
13/01/2021 20:29:15,2080,1299,2500,12990,203000
13/01/2021 22:43:33,2080,1299,2500,12990,203000
13/01/2021 22:52:48,2080,1299,2500,12990,203000
14/01/2021 00:58:45,2080,999,2500,9990,203000
14/01/2021 01:11:19,2080,999,2500,9990,203000
14/01/2021 02:58:53,2080,999,2500,9990,203000
14/01/2021 03:10:40,2080,999,2500,9990,203000
14/01/2021 08:02:23,2080,999,2500,9990,203000
14/01/2021 08:14:12,2080,999,2500,9990,203000
14/01/2021 13:27:42,2080,999,2500,9990,203000
14/01/2021 13:39:13,2080,999,2500,9990,203000
14/01/2021 16:45:10,2080,999,2500,9990,203000
14/01/2021 20:13:27,2080,1500,1500,17999,200000
14/01/2021 20:26:05,2080,1500,1500,17999,200000
15/01/2021 00:09:13,2072,999,999,10990,200000
15/01/2021 00:21:38,2072,999,999,10990,200000
15/01/2021 03:06:35,2072,999,999,10990,200000
15/01/2021 03:19:11,2072,999,999,10990,200000
15/01/2021 05:17:12,2072,999,999,10990,200000
15/01/2021 05:29:24,2072,999,999,10990,200000
16/01/2021 05:16:06,2030,950,950,10980,200000
16/01/2021 05:27:56,2030,950,950,10980,200000
16/01/2021 06:18:50,2030,949,949,10980,200000
16/01/2021 06:30:37,2030,949,949,10980,200000
16/01/2021 07:21:34,2030,949,949,10980,200000
16/01/2021 07:33:50,2030,949,949,10980,200000
16/01/2021 08:25:33,1990,949,949,10980,200000
16/01/2021 08:37:26,1990,949,949,10980,200000
16/01/2021 09:29:16,1990,949,949,10980,200000
16/01/2021 09:41:06,1990,949,949,10980,200000
16/01/2021 10:33:09,1990,949,949,10980,200000
16/01/2021 10:45:19,1990,949,949,10980,200000
16/01/2021 15:59:00,1990,949,949,10980,200000
16/01/2021 16:11:28,1990,949,949,10980,200000
16/01/2021 17:04:53,1990,949,949,10980,200000
16/01/2021 17:17:28,1990,949,949,10980,200000
16/01/2021 19:07:32,1990,949,949,10980,200000
16/01/2021 19:20:27,1990,949,949,10980,200000
16/01/2021 20:17:46,1990,949,949,10980,180000
16/01/2021 20:30:55,1990,949,949,10980,180000
16/01/2021 22:45:00,1976,999,999,10980,180000
16/01/2021 22:58:32,1976,999,999,10980,180000
16/01/2021 23:55:48,1976,999,999,10980,180000
17/01/2021 00:08:48,1976,999,999,10980,180000
17/01/2021 01:46:54,1686,1500,1500,17999,180000
17/01/2021 02:40:34,1686,1500,1500,17999,180000
17/01/2021 03:33:18,1686,1500,1500,17999,180000
17/01/2021 04:26:40,1686,1500,1500,17999,180000
17/01/2021 05:20:56,1686,1500,1500,17999,180000
17/01/2021 06:12:26,1686,1500,1500,17999,180000
17/01/2021 07:04:29,1686,1500,1500,17999,180000
17/01/2021 07:56:38,1686,1500,1500,17999,180000
17/01/2021 09:41:33,1686,1500,1500,17999,180000
17/01/2021 10:35:42,1686,1500,1500,17999,180000
17/01/2021 12:51:12,1686,1500,1500,17999,180000
17/01/2021 13:44:54,1686,1500,1500,17999,180000
17/01/2021 14:38:04,1686,1500,1500,17999,180000
17/01/2021 15:32:22,1686,1500,1500,16500,180000
17/01/2021 16:26:46,1683,1500,1500,16500,180000
