,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:09:56,131,120,-,1200,12900
11/01/2021 14:41:17,130,98,-,1199,9800
11/01/2021 17:41:03,130,97,99,1200,9795
13/01/2021 12:06:36,138,111,-,1500,11111
13/01/2021 12:54:03,130,111,-,1500,11111
13/01/2021 13:32:20,130,111,-,1500,11111
13/01/2021 14:42:56,130,109,-,1500,10999
13/01/2021 15:46:20,130,109,-,1500,10999
13/01/2021 17:18:57,130,105,-,1500,10500
13/01/2021 18:26:22,122,109,-,-,10998
13/01/2021 19:40:26,122,100,-,-,10000
13/01/2021 22:04:38,105,99,-,2195,9998
14/01/2021 00:21:57,125,99,210,2195,9999
14/01/2021 02:23:14,126,99,210,2195,9999
14/01/2021 07:26:53,132,138,210,7999,13899
14/01/2021 12:52:02,132,138,210,1599,13800
14/01/2021 16:01:47,132,138,210,1597,13800
14/01/2021 19:36:01,134,138,210,1500,13897
14/01/2021 23:31:47,136,138,210,1500,13897
15/01/2021 02:29:27,136,100,210,1500,10000
15/01/2021 04:40:12,125,138,210,-,13897
16/01/2021 04:40:40,122,135,-,1599,13500
16/01/2021 05:43:37,129,135,-,1599,13500
16/01/2021 06:46:24,132,135,-,1599,13500
16/01/2021 07:49:38,132,135,-,1599,13500
16/01/2021 08:53:44,134,135,-,1599,13500
16/01/2021 09:56:56,134,136,-,1599,13698
16/01/2021 11:01:29,134,136,-,1599,13698
16/01/2021 15:21:29,135,84,-,7999,8499
16/01/2021 16:28:01,135,84,-,7999,8498
