,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:40:31,251316,227999,227999,2995886,-
11/01/2021 16:08:54,248610,237991,237991,2700996,-
11/01/2021 19:09:27,247233,224999,224999,2699999,-
14/01/2021 02:06:11,244978,199998,199998,2700988,-
14/01/2021 07:09:57,240588,212999,212999,2600000,-
14/01/2021 12:35:17,241935,208888,208888,2700995,-
14/01/2021 14:37:18,245064,213000,213000,2988886,-
14/01/2021 15:44:31,245064,210998,210998,2988886,-
14/01/2021 19:18:30,238772,229999,229999,2988885,-
14/01/2021 23:13:38,238772,209999,209999,2444444,-
15/01/2021 02:11:31,236649,220000,220000,2444444,-
15/01/2021 04:21:47,236649,219000,219000,2444444,-
15/01/2021 11:10:00,234971,223998,223998,2399000,-
