,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:39:59,244483,122222,179999,1222222,-
11/01/2021 16:08:23,244194,122222,149999,1222222,-
11/01/2021 19:08:55,244194,122222,-,1222222,-
14/01/2021 02:05:34,212766,120000,120000,-,-
14/01/2021 07:09:21,212766,120000,120000,-,-
14/01/2021 12:34:42,211533,122000,122000,2222222,-
14/01/2021 14:36:53,210470,99999,122221,999999,-
14/01/2021 15:43:54,210470,99999,122220,999999,-
14/01/2021 19:17:50,210470,99999,120000,999999,-
14/01/2021 23:12:58,201152,99999,120000,999999,-
15/01/2021 02:10:54,201152,99999,119999,999999,-
15/01/2021 04:21:09,201152,99999,119999,999999,-
15/01/2021 11:09:22,192865,148998,148998,-,-
