,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:39:15,8,7,-,90,799
11/01/2021 02:48:51,8,7,-,90,799
11/01/2021 15:10:20,8,9,-,90,1000
11/01/2021 15:19:46,8,9,-,90,1000
11/01/2021 18:10:22,8,9,-,90,1000
11/01/2021 18:19:52,8,9,-,90,1000
13/01/2021 14:05:52,8,9,-,90,900
13/01/2021 14:17:41,8,9,-,90,900
13/01/2021 15:19:42,8,8,-,90,899
13/01/2021 16:23:21,8,8,-,90,899
13/01/2021 16:35:28,8,8,-,90,899
13/01/2021 17:57:37,8,8,-,90,899
13/01/2021 18:10:13,8,8,-,90,899
13/01/2021 19:04:21,8,8,-,90,899
13/01/2021 19:16:41,8,8,-,90,899
13/01/2021 20:20:04,28,520,-,-,52000
13/01/2021 20:30:34,28,520,-,-,52000
13/01/2021 22:44:57,28,520,-,-,52000
13/01/2021 22:54:11,28,520,-,-,52000
14/01/2021 01:00:06,28,520,-,-,52000
14/01/2021 01:12:38,28,520,-,-,52000
14/01/2021 03:00:08,28,520,-,-,52000
14/01/2021 03:11:56,28,520,-,-,52000
14/01/2021 08:03:45,28,520,-,-,52000
14/01/2021 08:15:35,28,520,-,-,52000
