,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:36:23,1724,3999,-,-,399999
11/01/2021 02:45:59,1724,3999,-,-,399999
11/01/2021 15:07:47,1724,3999,-,-,399999
11/01/2021 15:17:13,1724,3999,-,-,399999
11/01/2021 18:07:43,1724,3999,-,-,399999
11/01/2021 18:17:14,1724,3999,-,-,399999
13/01/2021 14:02:39,1724,3999,-,42000,399999
13/01/2021 14:14:29,1724,3999,-,42000,399999
13/01/2021 15:16:30,1724,3999,-,42000,399999
13/01/2021 16:20:09,1724,3999,-,42000,399999
13/01/2021 16:32:18,1724,3999,-,42000,399999
13/01/2021 17:54:19,1830,3999,-,42000,399999
13/01/2021 18:06:57,1830,3999,-,42000,399999
13/01/2021 19:01:06,1830,3999,-,42000,399999
13/01/2021 19:13:26,1830,3999,-,42000,399999
13/01/2021 20:16:37,1830,3999,-,42000,399999
13/01/2021 20:27:19,1830,3999,-,42000,399999
13/01/2021 22:41:30,1830,3999,-,42000,399999
13/01/2021 22:50:42,1830,3999,-,42000,399999
14/01/2021 00:56:46,1830,3999,-,42000,399999
14/01/2021 01:09:19,1830,3999,-,42000,399999
14/01/2021 02:57:02,2504,4200,-,42000,-
14/01/2021 03:08:49,2504,4200,-,42000,-
14/01/2021 08:00:35,2504,3555,-,42000,355555
14/01/2021 08:12:22,2504,3555,-,42000,355555
