,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:39:06,7652,4000,4000,74999,700000
11/01/2021 02:48:43,7652,4000,4000,74999,700000
11/01/2021 15:10:26,7652,3999,3999,40000,700000
11/01/2021 15:19:52,7652,3999,3999,40000,700000
11/01/2021 18:10:28,6350,3999,3999,75000,700000
11/01/2021 18:19:58,6350,3999,3999,75000,700000
13/01/2021 14:06:00,6073,7000,7333,97499,700000
13/01/2021 14:17:48,6073,7000,7333,97499,700000
13/01/2021 15:19:50,6073,7000,7333,97499,700000
13/01/2021 16:23:28,6073,7000,7333,97499,700000
13/01/2021 16:35:36,6073,7000,7333,97499,700000
13/01/2021 17:57:45,6073,7000,7333,97499,700000
13/01/2021 18:10:21,6073,7000,7333,97499,700000
13/01/2021 19:04:29,6073,7000,7333,97499,700000
13/01/2021 19:16:49,6073,7000,7333,97499,700000
13/01/2021 20:20:11,6073,7000,7333,97499,700000
13/01/2021 20:30:42,6073,7000,7333,97499,700000
13/01/2021 22:54:19,6073,7000,7333,97499,700000
14/01/2021 01:00:14,6073,7000,7333,75000,700000
14/01/2021 01:12:46,6073,7000,7333,75000,700000
14/01/2021 03:00:15,6073,7000,7333,75000,700000
14/01/2021 03:12:04,6073,7000,7333,75000,700000
14/01/2021 08:04:02,6250,7000,7333,97498,700000
14/01/2021 08:15:52,6250,7000,7333,97498,700000
14/01/2021 13:29:20,6250,7000,7333,97455,700000
14/01/2021 13:40:50,6250,7000,7333,97455,700000
14/01/2021 16:46:49,6250,7000,-,97455,700000
14/01/2021 20:15:01,6288,7000,9498,97455,700000
14/01/2021 20:27:50,6288,7000,9498,97455,700000
15/01/2021 00:10:57,6437,7000,9498,97498,700000
15/01/2021 00:23:22,6437,7000,9498,97498,700000
15/01/2021 03:08:19,6437,7000,9498,97498,700000
15/01/2021 03:20:50,6437,7000,9498,97498,700000
15/01/2021 05:18:50,6437,7000,9498,97498,700000
15/01/2021 05:31:04,6437,7000,9498,97498,700000
16/01/2021 05:17:41,6863,7000,9498,97500,700000
16/01/2021 05:29:30,6863,7000,9498,97500,700000
16/01/2021 06:20:25,6863,7000,9498,97500,700000
16/01/2021 06:32:13,6863,7000,9498,97500,700000
16/01/2021 07:23:14,6863,7000,9498,97500,700000
16/01/2021 07:35:26,6863,7000,9498,97500,700000
16/01/2021 08:27:08,6863,7000,9498,97500,700000
16/01/2021 08:39:06,6863,7000,9498,97500,700000
16/01/2021 09:30:50,6863,7000,9498,97500,700000
16/01/2021 09:42:42,6863,7000,9498,97500,700000
16/01/2021 10:34:52,6863,7000,9498,97500,700000
16/01/2021 10:46:59,6863,7000,9498,97500,700000
16/01/2021 16:00:46,6863,7000,-,97500,700000
16/01/2021 16:13:12,6863,7000,-,97500,700000
16/01/2021 17:06:38,6863,7000,-,97500,700000
16/01/2021 17:19:14,6863,7000,-,97500,700000
16/01/2021 19:09:19,7107,7000,-,99899,700000
16/01/2021 19:22:19,7107,7000,-,99899,700000
16/01/2021 20:19:32,7107,7000,-,99899,700000
16/01/2021 20:32:42,7107,7000,-,99899,700000
16/01/2021 22:46:49,7107,7000,-,99899,700000
16/01/2021 23:00:21,7107,7000,-,99899,700000
16/01/2021 23:57:34,7107,7000,-,99899,700000
17/01/2021 00:10:39,7107,7000,9450,99899,700000
17/01/2021 01:48:41,7107,7000,9450,99899,700000
17/01/2021 02:42:16,7107,7000,9450,99899,700000
17/01/2021 03:35:10,7107,7000,9450,99899,700000
17/01/2021 04:28:27,7107,7000,9450,99899,700000
17/01/2021 05:22:35,7107,7000,9450,99899,700000
17/01/2021 06:14:07,7107,7000,9450,99899,700000
17/01/2021 07:06:07,7107,7000,9450,99899,700000
17/01/2021 07:58:24,7107,7000,9450,99899,700000
17/01/2021 09:43:16,7107,7000,9450,99899,700000
17/01/2021 10:37:26,7107,7000,9450,99899,700000
17/01/2021 12:52:57,7107,4999,9450,49999,700000
17/01/2021 13:46:40,7107,4999,9449,49998,700000
17/01/2021 14:39:47,7107,4999,9449,49998,700000
17/01/2021 15:34:08,7107,4999,9449,49998,-
17/01/2021 16:28:32,7107,4999,9449,49998,-
