,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:27:42,724,499,499,-,-
11/01/2021 02:30:44,724,499,499,-,-
11/01/2021 14:59:14,724,400,400,-,-
11/01/2021 15:02:10,724,400,400,-,-
11/01/2021 17:58:53,724,400,400,-,-
11/01/2021 18:01:57,724,400,400,-,-
13/01/2021 13:51:43,724,499,499,-,-
13/01/2021 13:55:21,724,499,499,-,-
13/01/2021 15:05:32,724,499,499,-,-
13/01/2021 15:09:11,724,499,499,-,-
13/01/2021 16:09:06,724,499,499,-,-
13/01/2021 16:12:48,724,499,499,-,-
13/01/2021 17:42:48,724,499,499,-,-
13/01/2021 17:46:38,724,499,499,-,-
13/01/2021 18:49:53,724,499,499,-,-
13/01/2021 18:53:39,724,499,499,-,-
13/01/2021 20:04:24,724,499,499,-,-
13/01/2021 20:08:37,724,499,499,-,-
13/01/2021 22:29:21,724,499,499,-,-
13/01/2021 22:33:25,724,499,499,-,-
14/01/2021 00:44:39,724,499,499,-,-
14/01/2021 00:48:40,724,499,499,-,-
14/01/2021 02:46:03,724,499,499,-,-
14/01/2021 02:49:50,724,499,499,-,-
14/01/2021 07:49:35,724,499,499,-,-
14/01/2021 07:53:23,724,499,499,-,-
14/01/2021 13:14:41,724,499,499,-,-
14/01/2021 13:18:32,724,499,499,-,-
14/01/2021 16:25:29,724,499,499,-,-
14/01/2021 16:29:25,724,499,499,-,-
14/01/2021 19:59:42,724,499,499,-,-
14/01/2021 20:03:51,724,499,499,-,-
14/01/2021 23:55:31,724,499,499,-,-
14/01/2021 23:59:31,724,499,499,-,-
15/01/2021 02:52:57,724,499,499,-,-
15/01/2021 02:56:49,724,499,499,-,-
15/01/2021 05:03:54,724,499,499,-,-
15/01/2021 05:07:42,724,499,499,-,-
16/01/2021 05:03:15,724,100,100,-,-
16/01/2021 05:06:54,724,100,100,-,-
16/01/2021 06:06:09,724,100,100,-,-
16/01/2021 06:09:47,724,100,100,-,-
16/01/2021 07:08:50,724,100,100,-,-
16/01/2021 07:12:29,724,100,100,-,-
16/01/2021 08:12:51,724,100,100,-,-
16/01/2021 08:16:31,724,100,100,-,-
16/01/2021 09:16:34,724,100,100,-,-
16/01/2021 09:20:13,724,100,100,-,-
16/01/2021 10:20:19,724,100,100,-,-
16/01/2021 10:24:00,724,100,100,-,-
16/01/2021 15:45:52,724,100,100,-,-
16/01/2021 15:49:30,724,100,100,-,-
16/01/2021 16:51:47,724,100,100,-,-
16/01/2021 16:55:28,724,100,100,-,-
16/01/2021 18:53:53,724,100,100,-,-
16/01/2021 18:57:49,724,100,100,-,-
16/01/2021 20:03:54,724,100,100,-,-
16/01/2021 20:07:55,724,100,100,-,-
16/01/2021 22:30:53,724,100,100,-,-
16/01/2021 22:34:55,724,100,100,-,-
16/01/2021 23:42:00,724,100,100,-,-
16/01/2021 23:45:54,724,100,100,-,-
