,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:27:13,23868,25000,25000,-,-
11/01/2021 02:30:15,23868,25000,25000,-,-
11/01/2021 14:58:45,23868,25000,25000,-,-
11/01/2021 15:01:41,23868,25000,25000,-,-
11/01/2021 17:58:25,23868,25000,25000,-,-
11/01/2021 18:01:28,23868,24999,24999,-,-
13/01/2021 13:51:06,-,-,-,-,-
13/01/2021 13:54:46,-,-,-,-,-
13/01/2021 15:04:55,-,-,-,-,-
13/01/2021 15:08:35,-,-,-,-,-
13/01/2021 16:08:30,-,-,-,-,-
13/01/2021 16:12:12,-,-,-,-,-
13/01/2021 17:42:11,-,-,-,-,-
13/01/2021 17:46:00,-,-,-,-,-
13/01/2021 18:49:16,-,-,-,-,-
13/01/2021 18:53:02,-,-,-,-,-
13/01/2021 20:03:45,-,-,-,-,-
13/01/2021 20:07:59,-,-,-,-,-
13/01/2021 22:28:43,-,-,-,-,-
13/01/2021 22:32:45,-,-,-,-,-
14/01/2021 00:48:01,-,-,-,-,-
14/01/2021 02:45:28,-,-,-,-,-
14/01/2021 02:49:15,-,-,-,-,-
14/01/2021 07:48:59,-,-,-,-,-
14/01/2021 07:52:48,-,-,-,-,-
14/01/2021 13:14:05,-,-,-,-,-
14/01/2021 13:17:56,-,-,-,-,-
14/01/2021 16:24:52,-,-,-,-,-
14/01/2021 16:28:49,-,-,-,-,-
14/01/2021 19:59:03,-,-,-,-,-
14/01/2021 20:03:12,-,-,-,-,-
14/01/2021 23:54:55,-,-,-,-,-
14/01/2021 23:58:55,-,-,-,-,-
15/01/2021 02:52:21,-,-,-,-,-
15/01/2021 02:56:10,-,-,-,-,-
15/01/2021 05:03:17,-,-,-,-,-
15/01/2021 05:07:05,-,-,-,-,-
16/01/2021 05:02:39,23884,-,-,-,-
16/01/2021 05:06:20,23884,-,-,-,-
16/01/2021 06:05:34,23884,-,-,-,-
16/01/2021 06:09:12,23884,-,-,-,-
16/01/2021 07:08:15,23884,-,-,-,-
16/01/2021 07:11:54,23884,-,-,-,-
16/01/2021 08:12:16,23884,-,-,-,-
16/01/2021 08:15:56,23884,-,-,-,-
16/01/2021 09:15:58,23884,-,-,-,-
16/01/2021 09:19:38,23884,-,-,-,-
16/01/2021 10:19:44,23884,-,-,-,-
16/01/2021 10:23:24,23884,-,-,-,-
16/01/2021 15:45:14,23884,-,-,-,-
16/01/2021 15:48:52,23884,-,-,-,-
16/01/2021 16:51:10,23884,-,-,-,-
16/01/2021 16:54:50,23884,-,-,-,-
16/01/2021 18:53:13,23884,-,-,-,-
16/01/2021 18:57:08,23884,-,-,-,-
16/01/2021 20:03:12,23884,-,-,-,-
16/01/2021 20:07:13,23884,-,-,-,-
16/01/2021 22:30:12,23884,-,-,-,-
16/01/2021 22:34:14,23884,-,-,-,-
16/01/2021 23:41:19,23884,-,-,-,-
16/01/2021 23:45:13,23884,-,-,-,-
17/01/2021 01:33:03,23884,-,-,-,-
17/01/2021 01:36:48,23884,-,-,-,-
17/01/2021 02:27:18,23884,-,-,-,-
17/01/2021 02:30:53,23884,-,-,-,-
17/01/2021 03:20:09,23884,-,-,-,-
17/01/2021 03:23:41,23884,-,-,-,-
17/01/2021 04:12:51,23884,-,-,-,-
17/01/2021 04:16:33,23884,-,-,-,-
17/01/2021 05:07:20,23884,-,-,-,-
17/01/2021 05:10:53,23884,-,-,-,-
17/01/2021 05:59:20,23884,-,-,-,-
17/01/2021 06:02:51,23884,-,-,-,-
17/01/2021 06:51:17,23884,-,-,-,-
17/01/2021 06:54:49,23884,-,-,-,-
17/01/2021 07:43:30,23884,-,-,-,-
17/01/2021 07:46:59,23884,-,-,-,-
17/01/2021 09:28:23,23884,-,-,-,-
17/01/2021 09:31:55,23884,-,-,-,-
17/01/2021 10:22:25,23884,-,-,-,-
17/01/2021 10:26:04,23884,-,-,-,-
17/01/2021 12:37:43,23884,-,-,-,-
17/01/2021 12:41:18,23884,-,-,-,-
17/01/2021 13:31:09,23884,-,-,-,-
17/01/2021 13:34:56,23884,-,-,-,-
17/01/2021 14:24:39,23884,-,-,-,-
17/01/2021 14:28:23,23884,-,-,-,-
17/01/2021 15:18:28,23884,-,-,-,-
17/01/2021 15:22:14,23884,-,-,-,-
17/01/2021 16:12:46,23884,-,-,-,-
17/01/2021 16:16:39,23884,-,-,-,-
18/01/2021 14:05:25,23884,24998,24998,-,-
18/01/2021 14:07:48,23884,24998,24998,-,-
18/01/2021 14:38:41,23884,24998,24998,-,-
18/01/2021 14:41:23,23884,24998,24998,-,-
18/01/2021 15:10:17,23884,24998,24998,-,-
18/01/2021 15:12:20,23884,24998,24998,-,-
18/01/2021 15:40:13,23884,24998,24998,-,-
18/01/2021 15:44:09,23884,24998,24998,-,-
18/01/2021 16:17:32,23884,24998,24998,-,-
18/01/2021 16:20:15,23884,24998,24998,-,-
18/01/2021 16:49:55,23884,24998,24998,-,-
18/01/2021 16:53:49,23884,24998,24998,-,-
18/01/2021 17:22:00,23884,24998,24998,-,-
18/01/2021 17:24:58,23884,24998,24998,-,-
18/01/2021 17:54:37,23884,24998,24998,-,-
18/01/2021 17:56:38,23884,24998,24998,-,-
18/01/2021 18:27:40,23884,24998,24998,-,-
